configuration,strategy,L,attack_fraction,analytic_undetected,analytic_detection,empirical_undetected,empirical_detection,undetected_ci_low,undetected_ci_high,detection_ci_low,detection_ci_high,absolute_error,single_attacked_particle_pass_rate,mc_executed,zero_count_upper_95,p_value,holm_adjusted_p
random_replacement_L8_f0.1,random_replacement,8,0.1,0.6634204312890629,0.3365795687109371,0.6635773333333334,0.33642266666666665,0.6630424664347935,0.6641117813153498,0.33588821868465024,0.3369575335652065,0.00015690204427043497,0.5002453287571953,True,,0.5653872829186701,1.0
random_replacement_L8_f0.25,random_replacement,8,0.25,0.34360891580581665,0.6563910841941833,0.3438583333333333,0.6561416666666666,0.3433210365714789,0.34439602996919755,0.6556039700308025,0.6566789634285211,0.000249417527516671,0.5000781718520662,True,,0.36316943995669937,1.0
random_replacement_L8_f0.5,random_replacement,8,0.5,0.1001129150390625,0.8998870849609375,0.10017766666666666,0.8998223333333333,0.09983843484971824,0.10051792241632337,0.8994820775836766,0.9001615651502818,6.475162760416486e-05,0.5001085711527823,True,,0.7083092969313983,1.0
random_replacement_L8_f0.75,random_replacement,8,0.75,0.023283064365386963,0.976716935634613,0.023235,0.976765,0.0230651371960356,0.023406083784477383,0.9765939162155226,0.9769348628039644,4.806436538696418e-05,0.5001811388586991,True,,0.582732266073323,1.0
random_replacement_L8_f1,random_replacement,8,1.0,0.00390625,0.99609375,0.003902333333333333,0.9960976666666667,0.003832415181097558,0.003973521976447292,0.9960264780235527,0.9961675848189024,3.916666666666825e-06,0.5001879583333333,True,,0.9189049889920387,1.0
random_replacement_L16_f0.1,random_replacement,16,0.1,0.4401266686517662,0.5598733313482338,0.4398276666666667,0.5601723333333333,0.439266063290119,0.4403894241427108,0.5596105758572891,0.5607339367098809,0.0002990019850995229,0.49987726837502705,True,,0.2970910823391204,1.0
random_replacement_L16_f0.25,random_replacement,16,0.25,0.1180670870212488,0.8819329129787512,0.11796966666666667,0.8820303333333334,0.11760513765646394,0.11833517404481247,0.8816648259551876,0.882394862343536,9.742035458212839e-05,0.5000823266374335,True,,0.6019838183667241,1.0
random_replacement_L16_f0.5,random_replacement,16,0.5,0.010022595757618546,0.9899774042423815,0.009997666666666667,0.9900023333333333,0.009885714075552643,0.010110874138697533,0.9898891258613025,0.9901142859244474,2.492909095187963e-05,0.5001449596244627,True,,0.6679864596735374,1.0
random_replacement_L16_f0.75,random_replacement,16,0.75,0.0005421010862427522,0.9994578989137572,0.000566,0.999434,0.0005397182792074626,0.0005935607559178537,0.9994064392440821,0.9994602817207925,2.389891375724777e-05,0.500110360878127,True,,0.07613818512186896,1.0
random_replacement_L16_f1,random_replacement,16,1.0,1.52587890625e-05,0.9999847412109375,1.7666666666666668e-05,0.9999823333333333,1.350778469540438e-05,2.3105988028060273e-05,0.999976894011972,0.9999864922153046,2.407877604166668e-06,0.5000907083333334,True,,0.26779598405364263,1.0
random_replacement_L24_f0.1,random_replacement,24,0.1,0.2919890243387732,0.7080109756612267,0.2916883333333333,0.7083116666666667,0.2911742498044881,0.29220295034195515,0.7077970496580448,0.708825750195512,0.00030069100543989036,0.4997681218116749,True,,0.25232233521391867,1.0
random_replacement_L24_f0.25,random_replacement,24,0.25,0.040568903763722304,0.9594310962362776,0.040481333333333334,0.9595186666666666,0.04025890225144449,0.040704941228405525,0.9592950587715945,0.9597410977485555,8.757043038896961e-05,0.4998728036683222,True,,0.4432474047338638,1.0
random_replacement_L24_f0.5,random_replacement,24,0.5,0.0010033912775533338,0.9989966087224467,0.0010376666666666668,0.9989623333333333,0.001001867335690371,0.001074743824844441,0.9989252561751556,0.9989981326643096,3.427538911333298e-05,0.49999362522329427,True,,0.06159226171052522,1.0
random_replacement_L24_f0.75,random_replacement,24,0.75,1.2621774483536189e-05,0.9999873782255164,1.2e-05,0.999988,8.668385845782902e-06,1.6612068056507596e-05,0.9999833879319435,0.9999913316141542,6.217744835361884e-07,0.49995875829695285,True,,0.8706500316684291,1.0
random_replacement_L24_f1,random_replacement,24,1.0,5.960464477539063e-08,0.9999999403953552,,,,,,,,,False,9.985769259257538e-07,,
random_replacement_L32_f0.1,random_replacement,32,0.1,0.1937114844585016,0.8062885155414984,0.19355133333333333,0.8064486666666667,0.19310465751436612,0.19399879395791808,0.8060012060420819,0.8068953424856339,0.0001601511251682619,0.49983826987835084,True,,0.4831623282386607,1.0
random_replacement_L32_f0.25,random_replacement,32,0.25,0.013939837037683136,0.9860601629623169,0.013856666666666666,0.9861433333333334,0.013725010014068034,0.013989568317401738,0.9860104316825983,0.986274989985932,8.317037101646975e-05,0.5000162339103505,True,,0.22012595550455247,1.0
random_replacement_L32_f0.5,random_replacement,32,0.5,0.00010045242572063329,0.9998995475742793,0.00010066666666666667,0.9998993333333334,8.99358131546401e-05,0.00011267774700837533,0.9998873222529916,0.9999100641868454,2.1424094603338377e-07,0.4999757703598458,True,,0.9540581238938257,1.0
