strategy,L,attack_fraction,seeds,trials,undetected,empirical_undetected,wilson_low,wilson_high,zero_count_upper_95,analytic_undetected,absolute_error,attacked_particle_pass_rate
random_replacement,8,0.25,5,100000,34191,0.34191,0.33897612761022783,0.34485601784770875,,0.34360891580581665,0.0016989158058166587,0.4994303759518718
random_replacement,8,1.0,5,100000,388,0.00388,0.003513275477444028,0.004284839549385367,,0.00390625,2.6249999999999798e-05,0.4995775
random_replacement,16,0.25,5,100000,11874,0.11874,0.11674970304130103,0.12075958772530582,,0.1180670870212488,0.0006729129787512028,0.5004077915709733
random_replacement,16,1.0,5,100000,2,2e-05,5.484738516524055e-06,7.292683754201227e-05,,1.52587890625e-05,4.741210937500002e-06,0.49964625
random_replacement,64,0.25,5,100000,24,0.00024,0.00016129191248332846,0.0003571027618056714,,0.00019431905663716255,4.5680943362837455e-05,0.5001359104028634
random_replacement,64,1.0,5,100000,0,0.0,0.0,3.841311258303963e-05,2.995687401941005e-05,5.421010862427522e-20,5.421010862427522e-20,0.50012265625
random_basis_imr,8,0.25,5,100000,59788,0.59788,0.5948372804880142,0.6009151997610664,,0.5967194738332182,0.0011605261667817501,0.749928656897251
random_basis_imr,8,1.0,5,100000,10236,0.10236,0.10049651876336048,0.1042540304168146,,0.1001129150390625,0.0022470849609375065,0.75040875
random_basis_imr,16,0.25,5,100000,35413,0.35413,0.3511714924679277,0.3570997141735373,,0.3560741304517928,0.0019441304517928137,0.7489139878366637
random_basis_imr,16,1.0,5,100000,990,0.0099,0.00930492124636611,0.01053273128658779,,0.010022595757618546,0.00012259575761854567,0.749588125
random_basis_imr,64,0.25,5,100000,1649,0.01649,0.015719059419296726,0.01729808682883333,,0.01607539635095263,0.0004146036490473709,0.7500485642775541
random_basis_imr,64,1.0,5,100000,0,0.0,0.0,3.841311258303963e-05,2.995687401941005e-05,1.0090689833159348e-08,1.0090689833159348e-08,0.74995015625
fixed_z_imr,8,0.25,5,100000,59584,0.59584,0.5927948623358433,0.5988777746387369,,0.5967194738332182,0.0008794738332181806,0.7491399470197349
fixed_z_imr,8,1.0,5,100000,9990,0.0999,0.09805678282034798,0.101773955352341,,0.1001129150390625,0.0002129150390624973,0.75007625
fixed_z_imr,16,0.25,5,100000,35657,0.35657,0.3536068284689067,0.35954419071656896,,0.3560741304517928,0.000495869548207184,0.750229089211209
fixed_z_imr,16,1.0,5,100000,963,0.00963,0.009043270142803017,0.010254403133231676,,0.010022595757618546,0.0003925957576185468,0.749545625
fixed_z_imr,64,0.25,5,100000,1573,0.01573,0.014977188266225157,0.016520016369836025,,0.01607539635095263,0.00034539635095262936,0.749900854837721
fixed_z_imr,64,1.0,5,100000,0,0.0,0.0,3.841311258303963e-05,2.995687401941005e-05,1.0090689833159348e-08,1.0090689833159348e-08,0.75019109375
biased_basis_imr,8,0.25,5,100000,59619,0.59619,0.5931452733335856,0.5992273367518157,,0.5967194738332182,0.0005294738332182192,0.7487030950630068
biased_basis_imr,8,1.0,5,100000,10161,0.10161,0.09975266065639063,0.10349794614345331,,0.1001129150390625,0.0014970849609375059,0.7499025
biased_basis_imr,16,0.25,5,100000,35871,0.35871,0.35574280702001987,0.36168804775733393,,0.3560741304517928,0.0026358695482071592,0.750502796374356
biased_basis_imr,16,1.0,5,100000,1003,0.01003,0.009430943157106285,0.010666699388438344,,0.010022595757618546,7.404242381454235e-06,0.750045
biased_basis_imr,64,0.25,5,100000,1590,0.0159,0.015143093966783495,0.01669409760881941,,0.01607539635095263,0.00017539635095262934,0.7500647626752259
biased_basis_imr,64,1.0,5,100000,0,0.0,0.0,3.841311258303963e-05,2.995687401941005e-05,1.0090689833159348e-08,1.0090689833159348e-08,0.75012203125
