mode,p,metric,successes,trials,estimate,wilson_low,wilson_high,zero_count_upper_95,failure_count,scope
BASIC,0.0,detection_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
BASIC,0.0,core_bidirectional_correct,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
BASIC,0.0,full_protocol_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
BASIC,0.02,detection_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
BASIC,0.02,core_bidirectional_correct,4463,5000,0.8926,0.883714500202919,0.9008827002298221,,537,reference composition; finite independent trials
BASIC,0.02,full_protocol_acceptance,4463,5000,0.8926,0.883714500202919,0.9008827002298221,,537,reference composition; finite independent trials
BASIC,0.05,detection_acceptance,4998,5000,0.9996,0.9985426134985768,0.9998902987179225,,2,reference composition; finite independent trials
BASIC,0.05,core_bidirectional_correct,3687,5000,0.7374,0.7250238157664136,0.7494116793500735,,1313,reference composition; finite independent trials
BASIC,0.05,full_protocol_acceptance,3686,5000,0.7372,0.7248209839934875,0.7492148182037773,,1314,reference composition; finite independent trials
BASIC,0.1,detection_acceptance,4938,5000,0.9876,0.9841367227056039,0.9903146143575765,,62,reference composition; finite independent trials
BASIC,0.1,core_bidirectional_correct,2767,5000,0.5534,0.539584462301987,0.567133547130281,,2233,reference composition; finite independent trials
BASIC,0.1,full_protocol_acceptance,2738,5000,0.5476,0.533772612842291,0.5613543019325395,,2262,reference composition; finite independent trials
RELEASE,0.0,detection_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
RELEASE,0.0,core_bidirectional_correct,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
RELEASE,0.0,full_protocol_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
RELEASE,0.02,detection_acceptance,5000,5000,1.0,0.9992322980549431,1.0,,0,reference composition; finite independent trials
RELEASE,0.02,core_bidirectional_correct,4427,5000,0.8854,0.8762732822486592,0.8939349730920907,,573,reference composition; finite independent trials
RELEASE,0.02,full_protocol_acceptance,4427,5000,0.8854,0.8762732822486592,0.8939349730920907,,573,reference composition; finite independent trials
RELEASE,0.05,detection_acceptance,4999,5000,0.9998,0.9988679109191605,0.9999646942165608,,1,reference composition; finite independent trials
RELEASE,0.05,core_bidirectional_correct,3679,5000,0.7358,0.7234012523282772,0.747836699434434,,1321,reference composition; finite independent trials
RELEASE,0.05,full_protocol_acceptance,3678,5000,0.7356,0.7231984464541943,0.7476398123892949,,1322,reference composition; finite independent trials
RELEASE,0.1,detection_acceptance,4940,5000,0.988,0.9845852581132372,0.9906654647883871,,60,reference composition; finite independent trials
RELEASE,0.1,core_bidirectional_correct,2789,5000,0.5578,0.543994715307019,0.5715165383481322,,2211,reference composition; finite independent trials
RELEASE,0.1,full_protocol_acceptance,2756,5000,0.5512,0.5373797449751534,0.5649416423456728,,2244,reference composition; finite independent trials
