configuration,L,q0,q1,q_threshold,threshold_count,accept_rule,seeds,trials_per_seed,total_trials_per_role,honest_accepted,honest_acceptance_empirical,honest_acceptance_wilson_low,honest_acceptance_wilson_high,honest_zero_abort_upper_95,honest_acceptance_analytic,honest_acceptance_prism,attack_accepted,attack_miss_empirical,attack_miss_wilson_low,attack_miss_wilson_high,attack_zero_accept_upper_95,attack_miss_analytic,attack_miss_prism,analytic_prism_max_abs_error,empirical_analytic_max_abs_error,honest_states,honest_transitions,attack_states,attack_transitions,honest_prism_log,attack_prism_log
L16_q00_q10.2_qth0.05,16,0.0,0.2,0.05,0,errors<=floor(L*q_threshold),10,100000,1000000,1000000,1.0,0.9999961585559362,1.0,2.9957277863923437e-06,1.0,1.0,27689,0.027689,0.027369218530022884,0.028012410182551687,,0.028147497671065624,0.028147497671065613,1.0408340855860843e-17,0.00045849767106562536,17,17,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.05_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.05_attack.log
L16_q00_q10.2_qth0.1,16,0.0,0.2,0.1,1,errors<=floor(L*q_threshold),10,100000,1000000,1000000,1.0,0.9999961585559362,1.0,2.9957277863923437e-06,1.0,1.0,140022,0.140022,0.1393432559176754,0.14070350975302717,,0.14073748835532812,0.140737488355328,1.1102230246251565e-16,0.0007154883553281144,17,17,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.1_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.1_attack.log
L16_q00_q10.2_qth0.15,16,0.0,0.2,0.15,2,errors<=floor(L*q_threshold),10,100000,1000000,1000000,1.0,0.9999961585559362,1.0,2.9957277863923437e-06,1.0,1.0,351378,0.351378,0.3504428842185773,0.35231425762762214,,0.35184372088832033,0.35184372088832,3.3306690738754696e-16,0.000465720888320309,17,17,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.15_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00_q10.2_qth0.15_attack.log
L16_q00.01_q10.2_qth0.05,16,0.01,0.2,0.05,0,errors<=floor(L*q_threshold),10,100000,1000000,851750,0.85175,0.851052180243997,0.8524451173001042,,0.8514577710948755,0.8514577710948756,27689,0.027689,0.027369218530022884,0.028012410182551687,,0.028147497671065624,0.028147497671065613,1.1102230246251565e-16,0.00045849767106562536,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.05_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.05_attack.log
L16_q00.01_q10.2_qth0.1,16,0.01,0.2,0.1,1,errors<=floor(L*q_threshold),10,100000,1000000,988941,0.988941,0.9887341431191994,0.9891441004017965,,0.9890671078374816,0.9890671078374818,140022,0.140022,0.1393432559176754,0.14070350975302717,,0.14073748835532812,0.140737488355328,1.1102230246251565e-16,0.0007154883553281144,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.1_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.1_attack.log
L16_q00.01_q10.2_qth0.15,16,0.01,0.2,0.15,2,errors<=floor(L*q_threshold),10,100000,1000000,999463,0.999463,0.9994156343501422,0.9995065283315049,,0.9994920575907094,0.9994920575907096,351378,0.351378,0.3504428842185773,0.35231425762762214,,0.35184372088832033,0.35184372088832,3.3306690738754696e-16,0.000465720888320309,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.15_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.01_q10.2_qth0.15_attack.log
L16_q00.03_q10.2_qth0.05,16,0.03,0.2,0.05,0,errors<=floor(L*q_threshold),10,100000,1000000,613798,0.613798,0.6128433015848015,0.6147518241178952,,0.6142536534626855,0.6142536534626857,27689,0.027689,0.027369218530022884,0.028012410182551687,,0.028147497671065624,0.028147497671065613,2.220446049250313e-16,0.00045849767106562536,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.05_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.05_attack.log
L16_q00.03_q10.2_qth0.1,16,0.03,0.2,0.1,1,errors<=floor(L*q_threshold),10,100000,1000000,918945,0.918945,0.9184084767417122,0.9194783045507211,,0.9182142242483442,0.9182142242483446,140022,0.140022,0.1393432559176754,0.14070350975302717,,0.14073748835532812,0.140737488355328,4.440892098500626e-16,0.00073077575165581,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.1_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.1_attack.log
L16_q00.03_q10.2_qth0.15,16,0.03,0.2,0.15,2,errors<=floor(L*q_threshold),10,100000,1000000,988821,0.988821,0.9886130470802705,0.9890251973626718,,0.9887205422140898,0.9887205422140902,351378,0.351378,0.3504428842185773,0.35231425762762214,,0.35184372088832033,0.35184372088832,4.440892098500626e-16,0.000465720888320309,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.15_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.03_q10.2_qth0.15_attack.log
L16_q00.05_q10.2_qth0.05,16,0.05,0.2,0.05,0,errors<=floor(L*q_threshold),10,100000,1000000,440054,0.440054,0.4390813187972404,0.44102714176117147,,0.44012666865176536,0.4401266686517657,27689,0.027689,0.027369218530022884,0.028012410182551687,,0.028147497671065624,0.028147497671065613,3.3306690738754696e-16,0.00045849767106562536,153,289,153,289,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.05_q10.2_qth0.05_honest.log,reports/logs/experiment_release_v7_20260905T203845_CST/e_detection_L16_q00.05_q10.2_qth0.05_attack.log
