mode,n_blocks,ell,lambda_bits,r,warmup_runs,measured_runs,mean_ms,median_ms,sample_sd_ms,p05_ms,p25_ms,p75_ms,p95_ms,min_ms,max_ms,successful_runs
BASIC,1,4,,0,5,30,3.9203533333333334,3.9101999999999997,0.1173064120108128,3.78839,3.819575,3.96765,4.142325,3.7479,4.2733,30
RELEASE,1,4,1,2,5,30,7.317246666666667,7.2445,0.2511853907092272,6.993255,7.088749999999999,7.4994499999999995,7.761299999999999,6.9885,7.8602,30
RELEASE,1,4,2,1,5,30,6.07908,6.04715,0.1675374037496475,5.870595,5.9483749999999995,6.176625,6.35976,5.8479,6.4969,30
BASIC,1,155,,0,5,30,12.627243333333332,12.4543,0.7556340163585549,11.9862,12.192974999999999,12.807475,13.472014999999999,11.8515,15.9333,30
RELEASE,1,155,1,2,5,30,16.487963333333333,16.3626,0.98147791672711,15.18482,15.815375,17.0033,18.300649999999997,15.0652,19.0478,30
RELEASE,1,155,2,1,5,30,14.496426666666668,14.42335,0.4460164199338122,14.00616,14.175075,14.663375,15.27464,13.8927,15.9437,30
BASIC,2,4,,0,5,30,4.05021,3.97925,0.24871633107785185,3.77788,3.890875,4.1689750000000005,4.56335,3.6939,4.6804,30
RELEASE,2,4,1,4,5,30,9.798583333333333,9.662700000000001,0.613831888747789,9.373709999999999,9.478625,9.958825000000001,10.20976,9.2585,12.6958,30
RELEASE,2,4,2,2,5,30,7.32453,7.2738499999999995,0.23296759749535698,7.047784999999999,7.15175,7.468325,7.774369999999999,7.0262,7.8959,30
RELEASE,2,4,4,1,5,30,6.259503333333333,6.19495,0.20835851311742887,6.02548,6.120075,6.361675,6.7209900000000005,5.9883,6.7716,30
BASIC,2,155,,0,5,30,12.295843333333332,12.1721,0.5568157137617024,11.870775,12.025,12.328,13.032119999999999,11.8263,14.8011,30
RELEASE,2,155,1,4,5,30,18.025343333333335,17.9957,0.3232544121184163,17.55027,17.81525,18.2287,18.62371,17.4408,18.6481,30
RELEASE,2,155,2,2,5,30,15.762243333333334,15.6729,0.3277051962414973,15.372925,15.56685,15.925275,16.22607,15.3288,16.8972,30
RELEASE,2,155,4,1,5,30,14.635733333333333,14.52055,0.5189330023418629,14.22725,14.358225000000001,14.76375,15.20524,14.186,16.9824,30
BASIC,4,4,,0,5,30,4.137646666666667,4.1654,0.16715633964961502,3.88923,4.00165,4.2461,4.349995,3.7791,4.5256,30
RELEASE,4,4,1,8,5,30,14.530273333333334,14.384,0.5896972934354178,14.00083,14.24095,14.686,15.049725,13.8796,17.1806,30
RELEASE,4,4,2,4,5,30,9.754516666666666,9.7336,0.2059883242143683,9.49058,9.582749999999999,9.9021,10.10544,9.3684,10.1924,30
RELEASE,4,4,4,2,5,30,7.49992,7.4391,0.5162396619320567,7.13016,7.264125,7.525325,7.843895,7.0766,10.0378,30
RELEASE,4,4,8,1,5,30,6.218663333333334,6.222250000000001,0.1736735532312102,6.0036000000000005,6.084575,6.315275,6.569615,5.9613,6.6118,30
BASIC,4,155,,0,5,30,12.465763333333333,12.408,0.3445441971382035,12.02938,12.259875,12.636775,13.081639999999998,11.7999,13.2783,30
RELEASE,4,155,1,8,5,30,22.9004,22.67935,0.8279164117394858,22.3097,22.503175,22.93085,24.549219999999995,22.2687,26.0671,30
RELEASE,4,155,2,4,5,30,18.053166666666666,18.02535,0.38160260637920485,17.54059,17.742600000000003,18.22475,18.71953,17.4768,19.1046,30
RELEASE,4,155,4,2,5,30,15.781956666666668,15.64535,0.6432810227764902,15.257915,15.4898,15.97675,16.11527,15.2247,18.8299,30
RELEASE,4,155,8,1,5,30,14.488026666666666,14.49945,0.2911434318082025,14.041020000000001,14.3113,14.673625,14.889875,13.8751,15.1988,30
BASIC,8,4,,0,5,30,4.157886666666666,4.1387,0.16024529200321427,3.942265,4.0466999999999995,4.2674,4.43821,3.9222,4.5708,30
RELEASE,8,4,1,16,5,30,24.596,24.43085,1.0385595063721011,23.66049,23.937075,24.806775000000002,26.581619999999994,23.5628,28.2062,30
RELEASE,8,4,2,8,5,30,14.655623333333333,14.54525,0.6797837108777415,14.133875,14.335049999999999,14.713875,15.169425,14.074,17.8809,30
RELEASE,8,4,4,4,5,30,9.83331,9.80935,0.25210611935015204,9.527255,9.688575,9.958499999999999,10.28894,9.2449,10.4326,30
RELEASE,8,4,8,2,5,30,7.496943333333333,7.4904,0.16805111842025594,7.277444999999999,7.38125,7.5984750000000005,7.80588,7.1834,7.8635,30
BASIC,8,155,,0,5,30,12.678693333333333,12.5841,0.5420988088667162,12.23362,12.4389,12.753824999999999,13.056305,12.0479,15.2579,30
RELEASE,8,155,1,16,5,30,32.92182666666667,32.7853,0.7193993428109186,32.10343,32.4006,33.273174999999995,33.81309,31.9612,35.5322,30
RELEASE,8,155,2,8,5,30,23.223380000000002,22.9581,0.8079377354807692,22.5061,22.74255,23.324675,24.987819999999996,22.4894,25.4971,30
RELEASE,8,155,4,4,5,30,19.30015,18.647,2.351603386943206,17.55679,18.200725,19.238325,22.085369999999998,17.2505,30.0373,30
RELEASE,8,155,8,2,5,30,15.968893333333334,15.9692,0.47044754988776594,15.342310000000001,15.67485,16.1431,16.65277,15.2484,17.5875,30
BASIC,16,4,,0,5,30,4.475733333333333,4.42255,0.1941133979517329,4.300015,4.33925,4.53595,4.843649999999999,4.2478,5.1017,30
RELEASE,16,4,1,32,5,30,46.584230000000005,46.2808,1.224072946088111,45.312495,45.85495,46.741675,49.565265,45.2436,49.8576,30
RELEASE,16,4,2,16,5,30,24.84101,24.59285,0.9258640543502762,24.18685,24.4501,24.771349999999998,26.670659999999994,24.0722,28.4496,30
RELEASE,16,4,4,8,5,30,14.933836666666668,14.87705,0.24133765226814247,14.702685,14.745275000000001,14.999925000000001,15.380735,14.6484,15.7071,30
RELEASE,16,4,8,4,5,30,10.21428,10.094850000000001,0.5578510401841003,9.768075000000001,9.954975000000001,10.276425,10.71101,9.6094,12.7807,30
BASIC,16,155,,0,5,30,12.842453333333333,12.783100000000001,0.3141077167901585,12.426475,12.6352,13.07125,13.37143,12.2893,13.4954,30
RELEASE,16,155,1,32,5,30,54.581896666666665,54.36775,1.075815278171456,53.513005,53.9893,54.924725,56.72496499999999,53.1341,58.1349,30
RELEASE,16,155,2,16,5,30,33.14922333333333,32.966049999999996,0.9620086829070231,32.179175,32.704,33.2718,35.11570999999999,31.9923,36.4334,30
RELEASE,16,155,4,8,5,30,23.17648,23.133699999999997,0.405894200925349,22.647925,22.84385,23.41905,23.841515,22.6072,24.0837,30
RELEASE,16,155,8,4,5,30,18.65735,18.55535,0.6921741592432774,17.89726,18.435775,18.720550000000003,19.201105,17.8441,21.8869,30
BASIC,32,4,,0,5,30,5.194286666666667,5.168200000000001,0.19658431679357175,4.893165,5.10295,5.2964,5.553825,4.8745,5.6586,30
RELEASE,32,4,1,64,5,30,99.15386333333332,98.45689999999999,3.0369010510924523,95.87286,96.695875,100.928,104.136755,94.508,107.3972,30
RELEASE,32,4,2,32,5,30,48.83652333333334,48.6937,1.4180017381642314,46.971335,48.108599999999996,49.25575,52.106455,46.092,52.6896,30
RELEASE,32,4,4,16,5,30,26.017076666666664,26.054450000000003,0.8018964374115484,25.011969999999998,25.6383,26.3163,26.67631,24.2498,29.1354,30
RELEASE,32,4,8,8,5,30,15.945770000000001,15.80875,0.603653981241709,15.30508,15.563375,16.173975,16.712055,15.2034,18.3653,30
BASIC,32,155,,0,5,30,13.71641,13.759699999999999,0.39986788193101963,13.07783,13.40455,14.034075,14.31013,12.9269,14.3619,30
RELEASE,32,155,1,64,5,30,109.42767,109.16329999999999,2.5462326384423255,106.20768,107.82025,109.87977500000001,115.139675,105.4376,115.4765,30
RELEASE,32,155,2,32,5,30,57.04989,56.5173,1.7078942574773586,55.77454,56.061625,57.563025,60.86306,54.0975,62.217,30
RELEASE,32,155,4,16,5,30,34.561076666666665,34.510149999999996,0.8080738322717167,33.80574,34.128425,34.704875,35.17523,33.6805,38.2427,30
RELEASE,32,155,8,8,5,30,24.598586666666666,24.534,0.6741312471891372,23.531805000000002,24.269875,24.859074999999997,25.707985,23.4438,26.6114,30
