metric_id,value,ci_low,ci_high,unit,status,source_file,row_selector,statistical_formula,scope
A_ABORT_TRACE_STEPS,6,,,transitions,new_run,results/raw/experiment_release_v7_20260905T203845_CST/a_original_aqd_abort_release_v7.json,terminal_timeout_enabled,shortest deterministic BFS trace,original AQD
B_IMR_L16_F1_UNDETECTED,0.0099,0.00930492124636611,0.01053273128658779,probability,new_run,results/derived/experiment_release_v7_20260905T203845_CST/b_imr_event_regression_aggregate_release_v7.csv,strategy=random_basis_imr;L=16;attack_fraction=1,k/N; Wilson 95%,independent zero-tolerance BB84 IMR
B_EM_PI4_QBER,0.07322330470336325,,,probability,new_run,results/raw/experiment_release_v7_20260905T203845_CST/b_em_density_qiskit_101_release_v7.csv,theta=pi/4,density matrix; (1-cos(theta))/4,specified U_theta family only
C_EXACT_V7_BRANCHES,128,,,branches,new_run,results/raw/experiment_release_v7_20260905T203845_CST/c_quantum_v7_128_branches_release_v7.csv,all rows,complete finite branch enumeration,ideal single-block Bell support
C_BLOCK_DEPOLARIZING_P010,0.8574999999999992,,,probability,new_run,results/raw/experiment_release_v7_20260905T203845_CST/c_quantum_channel_noise_release_v7.csv,transmission;depolarizing;p=0.1;mean over 32 message/state rows,mean exact density-matrix probability,"single six-qubit block, not full protocol"
C_FULL_BASIC_P010,0.5476,0.533772612842291,0.5613543019325395,probability,new_run,results/derived/experiment_release_v7_20260905T203845_CST/c_complete_noisy_protocol_aggregate_release_v7.csv,mode=BASIC;p=0.1;metric=full_protocol_acceptance,k/N; Wilson 95%,reference quantum-classical seam composition
C_FULL_RELEASE_P010,0.5512,0.5373797449751534,0.5649416423456728,probability,new_run,results/derived/experiment_release_v7_20260905T203845_CST/c_complete_noisy_protocol_aggregate_release_v7.csv,mode=RELEASE;p=0.1;metric=full_protocol_acceptance,k/N; Wilson 95%,"reference composition; 2n=8,lambda=3,last=2"
D_ATTACK_REGRESSION,42,,,cases,new_run,results/raw/experiment_release_v7_20260905T203845_CST/d_auth_attack_cases_release_v7.csv,all migrated cases,finite case count,"local validator regression, not authentication proof"
D_SHORT_TAG_ACCEPTED,1,,,tags_of_256,new_run,results/raw/experiment_release_v7_20260905T203845_CST/d_auth_short_tag_exhaustive_release_v7.json,fixed legal context; all 8-bit tags,complete finite enumeration through actual verifier,functional test only
E_MAX_PRISM_ANALYTIC_ERROR,5.329070518200751e-15,,,absolute_probability,new_run,results/derived/experiment_release_v7_20260905T203845_CST/e_detection_analytic_prism_mc_release_v7.csv,max over 48 configurations,max |P_PRISM-P_binomial|,finite independent-error DTMC
E_ZERO_HIT_EXAMPLE,0,0,2.9957277863923437e-06,accepts_per_1000000,new_run,results/derived/experiment_release_v7_20260905T203845_CST/e_detection_analytic_prism_mc_release_v7.csv,L128_q00.05_q10.2_qth0.05,one-sided 95% CP upper=1-0.05^(1/N),analytic probability remains 6.422670150112981e-07; not zero
F_NORMAL_VIOLATION_NONZERO,0,,,configurations,verified_reuse,results/derived/prism_release_v7/20260905T200413_CST/grid_results.csv,52 current-version configurations,"Pmax F(S_H>V_H+lambda), exact finite MDP",finite local release-count model
F_NEGATIVE_PMAX,1,,,probability,verified_reuse,results/derived/prism_release_v7/20260905T200413_CST/negative_controls.csv,negative_m8_l2_h0_f0_v2,exact Pmax reachability,monitor sensitivity control
G_BASIC_N32_E4_BYTES,4769,,,bytes,new_run,results/raw/experiment_release_v7_20260905T203845_CST/g_resource_accounting_release_v7.csv,BASIC;n=32;ell=4,sum actual CE1 record lengths,post-KE; init and external KE/QKD excluded
G_RELEASE_N32_E4_L4_BYTES,34631,,,bytes,new_run,results/raw/experiment_release_v7_20260905T203845_CST/g_resource_accounting_release_v7.csv,RELEASE;n=32;ell=4;lambda=4,sum actual CE1 record lengths,post-KE; r=16
G_BASIC_N32_E4_MEDIAN,5.168200000000001,5.10295,5.2964,ms (IQR shown),new_run,results/derived/experiment_release_v7_20260905T203845_CST/g_performance_aggregate_release_v7.csv,BASIC;n=32;ell=4,median and empirical quartiles over 30 measured runs,in-memory reference workload
G_RELEASE_N32_E4_L4_MEDIAN,26.054450000000003,25.6383,26.3163,ms (IQR shown),new_run,results/derived/experiment_release_v7_20260905T203845_CST/g_performance_aggregate_release_v7.csv,RELEASE;n=32;ell=4;lambda=4,median and empirical quartiles over 30 measured runs,in-memory reference workload
