experiment,configuration,seed,metric,value,ci_low,ci_high,unit,status,raw_file_sha256,notes
E6,fair_single_block,,logical_configurations,32,,,configurations,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,
E6,fair_single_block,,exact_nonzero_branches,128,,,branches,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,
E6,fair_single_block,,exact_branch_success_rate,1.0,,,probability,complete,068667e2caf2e551540f2b1accfe0aa3e2b0c25d8bedf1ef22c41278d3e4d55e,
E6,fair_multiblock,,honest_complete_configurations,3456,,,configurations,complete,85b15876272e28a12c03caf94be95c8decf85241772753b389bbc71a19c037d7,
E6,fair_multiblock,,honest_success_rate,1.0,,,probability,complete,85b15876272e28a12c03caf94be95c8decf85241772753b389bbc71a19c037d7,
E6,fair_multiblock,,alice_corrupt_configurations,3456,,,configurations,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,
E6,fair_multiblock,,bob_corrupt_configurations,3456,,,configurations,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,
E6,fair_multiblock,,abort_prefixes_checked,37632,,,prefixes,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,
E6,fair_all,,maximum_information_lead,4,,,bits,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,
E6,fair_all,,fairness_violations,0,,,paths,complete,ca0d5d2f5dc58cd90bb0d9127c03e2856e73a5da8d98c49db5cd44a2056b2c98,
