config_id,m_bits,n_qubit_symbols,lambda_bits,chunks,last_chunk_bits,honest,first,variant,engine,precision,process_exit_code,output_error_lines,states,transitions,choices,reachable_current_gap_max,reachable_historical_gap_max,violating_reachable_states,state_export,transition_export,strategy_export,log,release_violation_pmax,release_reached_pmax,completed_pmax,honest_complete_pmax,rejected_pmax,aborted_pmax,waiting_pmax,terminated_pmin,unexpected_terminal_pmax,retransmit_pmax
grid_m8_l1_h0_f0_v0,8,4,1,8,1,Alice,Alice,0,explicit,double explicit; termination epsilon=1e-12,0,0,3096,11230,11230,1,1,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l1_h0_f0_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l1_h0_f0_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l1_h0_f1_v0,8,4,1,8,1,Alice,Bob,0,explicit,double explicit; termination epsilon=1e-12,0,0,2952,10619,10619,1,1,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l1_h0_f1_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l1_h0_f1_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l1_h1_f0_v0,8,4,1,8,1,Bob,Alice,0,explicit,double explicit; termination epsilon=1e-12,0,0,2955,10625,10625,1,1,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l1_h1_f0_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l1_h1_f0_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l1_h1_f1_v0,8,4,1,8,1,Bob,Bob,0,explicit,double explicit; termination epsilon=1e-12,0,0,3099,11236,11236,1,1,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l1_h1_f1_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l1_h1_f1_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l2_h0_f0_v0,8,4,2,4,2,Alice,Alice,0,explicit,double explicit; termination epsilon=1e-12,0,0,750,2280,2280,2,2,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l2_h0_f0_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l2_h0_f0_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l2_h0_f1_v0,8,4,2,4,2,Alice,Bob,0,explicit,double explicit; termination epsilon=1e-12,0,0,686,2027,2027,2,2,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l2_h0_f1_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l2_h0_f1_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l2_h1_f0_v0,8,4,2,4,2,Bob,Alice,0,explicit,double explicit; termination epsilon=1e-12,0,0,689,2033,2033,2,2,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l2_h1_f0_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l2_h1_f0_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l2_h1_f1_v0,8,4,2,4,2,Bob,Bob,0,explicit,double explicit; termination epsilon=1e-12,0,0,753,2286,2286,2,2,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l2_h1_f1_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l2_h1_f1_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l4_h0_f0_v0,8,4,4,2,4,Alice,Alice,0,explicit,double explicit; termination epsilon=1e-12,0,0,271,664,664,4,4,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l4_h0_f0_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l4_h0_f0_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
grid_m8_l4_h0_f1_v0,8,4,4,2,4,Alice,Bob,0,explicit,double explicit; termination epsilon=1e-12,0,0,247,590,590,4,4,0,results/raw/prism_release_v7/20260905T200413_CST/states/grid_m8_l4_h0_f1_v0.sta,not requested,not requested,results/raw/prism_release_v7/20260905T200413_CST/logs/grid_m8_l4_h0_f1_v0.log,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
