step,from_state,action,to_state,phase,outcome,waiting,sent_blocks_h,verified_blocks_peer,sent_honest,verified_peer,max_gap,last_actor,last_direction,last_type,last_seq,last_block,last_event,reject_reason
1,0,h_quantum_send,1,1,0,False,0,0,0,0,0,1,1,1,0,0,1,0
2,1,adv_qrecv_ack_valid,3,2,0,False,0,0,0,0,0,2,2,2,0,0,2,0
3,3,h_decoy_send,4,3,0,False,0,0,0,0,0,1,1,3,0,0,1,0
4,4,adv_detection_claim_pass,6,4,0,False,0,0,0,0,0,2,0,0,0,0,2,0
5,6,adv_dialogue_b_valid,8,5,0,False,0,0,0,0,0,2,2,4,1,0,2,0
6,8,h_dialogue_a_send,9,6,0,False,0,0,0,0,0,1,1,5,1,0,1,0
7,9,h_commit_adv_verify,11,6,0,False,0,0,0,0,0,1,1,6,2,0,1,0
8,11,adv_commit_valid,14,6,0,False,0,0,0,0,0,2,2,6,2,0,2,0
9,14,begin_open,19,7,0,False,0,0,0,0,0,0,0,0,0,0,9,0
10,19,h_open_adv_verify,27,7,0,False,1,0,4,0,4,1,1,7,3,1,10,0
11,27,adv_open_valid,40,7,0,False,1,1,4,4,4,2,2,7,3,1,2,0
12,40,adv_open_valid,55,7,0,False,1,2,4,6,4,2,2,7,4,2,2,0
13,55,h_open_adv_verify,74,7,0,False,2,2,6,6,4,1,1,7,4,2,10,0
14,74,open_complete,95,8,0,False,2,2,6,6,4,0,0,0,0,0,2,0
15,95,h_confirm_send,115,8,0,False,2,2,6,6,4,1,1,8,5,0,1,0
16,115,adv_confirm_valid,134,8,0,False,2,2,6,6,4,2,2,8,5,0,2,0
17,134,complete,155,9,1,False,2,2,6,6,4,0,0,0,0,0,12,0
