step,from_state,action,to_state,phase,outcome,waiting,sent_blocks_h,verified_blocks_peer,sent_honest,verified_peer,max_gap,last_actor,last_direction,last_type,last_seq,last_block,last_event,reject_reason
1,0,h_quantum_send,1,1,0,False,0,0,0,0,0,1,1,1,0,0,1,0
2,1,adv_qrecv_ack_valid,3,2,0,False,0,0,0,0,0,2,2,2,0,0,2,0
3,3,h_decoy_send,4,3,0,False,0,0,0,0,0,1,1,3,0,0,1,0
4,4,adv_detection_claim_pass,6,4,0,False,0,0,0,0,0,2,0,0,0,0,2,0
5,6,adv_dialogue_b_valid,8,5,0,False,0,0,0,0,0,2,2,4,1,0,2,0
6,8,h_dialogue_a_send,9,6,0,False,0,0,0,0,0,1,1,5,1,0,1,0
7,9,h_commit_adv_verify,11,6,0,False,0,0,0,0,0,1,1,6,2,0,1,0
8,11,adv_commit_valid,14,6,0,False,0,0,0,0,0,2,2,6,2,0,2,0
9,14,begin_open,19,7,0,False,0,0,0,0,0,0,0,0,0,0,9,0
10,19,h_open_adv_verify,31,7,0,False,1,0,2,0,2,1,1,7,3,1,10,0
11,31,bug_burst_open,94,7,0,False,2,0,4,0,4,1,1,7,4,2,13,0
