experiment,configuration,seed,metric,value,ci_low,ci_high,unit,status,raw_file_sha256,notes,source_summary_file
E1,chosen_message_pair,,chosen_message_success,1.0,,,probability,complete,e05142edb19474d4135f67119aaccf38d5623950b7632871a8d1e16be0ae6580,Analytic deterministic conclusion; script is a witness only.,e1_summary_v6.csv
E1,chosen_message_pair,,privacy_advantage,0.5,,,probability,complete,e05142edb19474d4135f67119aaccf38d5623950b7632871a8d1e16be0ae6580,Analytic deterministic conclusion.,e1_summary_v6.csv
E1,cross_session_repeated_message,,equality_identification_success,1.0,,,probability,complete,e05142edb19474d4135f67119aaccf38d5623950b7632871a8d1e16be0ae6580,,e1_summary_v6.csv
E1,abort_terminal_pass_decoy_t3,,pmax_terminal_unfair_output,1.0,,,probability,complete,09c3bc185bef293de3f359b021046ca5f588275c3f932ba7b0f029808fe6cda9,Target requires terminal=true and aborted_by_alice=true.,e1_summary_v6.csv
E1,abort_timeout_pass_decoy_t3,,shortest_counterexample_length,6,,,transitions,complete,09c3bc185bef293de3f359b021046ca5f588275c3f932ba7b0f029808fe6cda9,send_cb -> alice_recovers_b -> alice_abort -> bob_waiting_for_ca -> timeout -> bob_abort,e1_summary_v6.csv
E1,abort_terminal_pass_decoy_t3,,reachable_states,9,,,states,complete,09c3bc185bef293de3f359b021046ca5f588275c3f932ba7b0f029808fe6cda9,,e1_summary_v6.csv
E1,abort_terminal_pass_decoy_t3,,transitions,11,,,transitions,complete,09c3bc185bef293de3f359b021046ca5f588275c3f932ba7b0f029808fe6cda9,,e1_summary_v6.csv
E1,abort_no_timeout,,pmax_nonterminal_waiting_knowledge_asymmetry,1.0,,,probability,complete,f663cf17fe8692f590133d50cdf9a20b29c79e5882ba49907ebbb7b67f1f32a1,"Nonterminal liveness failure, not terminal fairness output.",e1_summary_v6.csv
E1,abort_no_timeout,,pmax_terminal_bob_abort,0.0,,,probability,complete,f663cf17fe8692f590133d50cdf9a20b29c79e5882ba49907ebbb7b67f1f32a1,No timeout means Bob abort output is not fabricated.,e1_summary_v6.csv
E2,random_basis_imr_L16_f1,,detection_probability,0.9898606666666667,0.989746672691246,0.9899734061239743,probability,complete,37563f83a07e62f1f304cb143c10157f99edb98f5a5d4e84aa00fb9c91244a24,Event-level BB84 particle simulation; analytic formula is a separate reference.,e2_summary_v6.csv
E2,random_replacement_L16_f1,,detection_probability,0.9999823333333333,0.999976894011972,0.9999864922153046,probability,complete,37563f83a07e62f1f304cb143c10157f99edb98f5a5d4e84aa00fb9c91244a24,,e2_summary_v6.csv
E2,all_observable_configurations,,maximum_absolute_error,0.0007061304517927969,,,probability,complete,e28a96ca8af27485d3fb481ef10c312d2ce62657bceff7fa5ca6b6e5f86c9ff4,,e2_summary_v6.csv
E2,single_particle_random_basis_f1,,pass_probability,0.7505533333333333,,,probability,complete,37563f83a07e62f1f304cb143c10157f99edb98f5a5d4e84aa00fb9c91244a24,Expected 3/4.,e2_summary_v6.csv
