name,legacy_source,category,accepted,reason,regression_pass,interpretation,validation_trace
payload_tamper,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_A_mac"",""reject:authentication_tag_invalid""]"
record_mac_tamper,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,Legacy name retained for mapping; V7 rejects the sole ordinary-record MAC tag and has no outer record_mac.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_A_mac"",""reject:authentication_tag_invalid""]"
protocol_version_replacement,e5_registered_attacks_v6.csv,external_record,False,version_or_canon_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:version_or_canon_mismatch""]"
sid_replacement,e5_registered_attacks_v6.csv,external_record,False,sid_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:sid_mismatch""]"
sender_replacement,e5_registered_attacks_v6.csv,external_record,False,identity_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:identity_mismatch""]"
receiver_replacement,e5_registered_attacks_v6.csv,external_record,False,identity_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:identity_mismatch""]"
direction_reflection,e5_registered_attacks_v6.csv,external_record,False,direction_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:direction_mismatch""]"
type_replacement,e5_registered_attacks_v6.csv,external_record,False,unexpected_type_or_stage,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:unexpected_type_or_stage""]"
cross_session_migration,e5_registered_attacks_v6.csv,external_record,False,sid_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:sid_mismatch""]"
same_session_replay,e5_registered_attacks_v6.csv,replay,False,unexpected_type_or_stage,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:unexpected_type_or_stage""]"
old_sequence,e5_registered_attacks_v6.csv,external_record,False,replayed_or_old_sequence,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:replayed_or_old_sequence""]"
future_sequence,e5_registered_attacks_v6.csv,external_record,False,future_sequence,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:future_sequence""]"
decoy_before_verified_qrecv,e5_registered_attacks_v6.csv,local_send_gate,False,decoy_requires_locally_verified_qrecv,True,The reviewed local check rejected the altered action.,"[""local_send_gate:decoy_requires_locally_verified_qrecv""]"
decoy_wrong_K_dist,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_dist"",""reject:authentication_tag_invalid""]"
D_decoy_tamper,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_dist"",""reject:authentication_tag_invalid""]"
tau_dist_tamper,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,"Legacy tau_dist is V7's sole K_dist auth.tag, not an inner-plus-outer pair.","[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_dist"",""reject:authentication_tag_invalid""]"
tau_dist_missing,e5_registered_attacks_v6.csv,external_record,False,auth_schema_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""reject:auth_schema_invalid""]"
decoy_cross_session_migration,e5_registered_attacks_v6.csv,external_record,False,sid_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:sid_mismatch""]"
decoy_direction_reflection,e5_registered_attacks_v6.csv,external_record,False,direction_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:direction_mismatch""]"
decoy_record_replay,e5_registered_attacks_v6.csv,replay,False,unexpected_type_or_stage,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:unexpected_type_or_stage""]"
qrecv_L3_tamper,e5_registered_attacks_v6.csv,external_record,False,qrecv_length_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:qrecv_length_invalid""]"
qrecv_L4_tamper,e5_registered_attacks_v6.csv,external_record,False,qrecv_length_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:qrecv_length_invalid""]"
qrecv_identity_swap,e5_registered_attacks_v6.csv,external_record,False,identity_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:identity_mismatch""]"
qrecv_direction_reflection,e5_registered_attacks_v6.csv,external_record,False,direction_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:direction_mismatch""]"
qrecv_forged_tau_ack,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_ack"",""reject:authentication_tag_invalid""]"
qrecv_wrong_ack_key,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_ack"",""reject:authentication_tag_invalid""]"
wrong_T_Q,e5_registered_attacks_v6.csv,external_record,False,tq_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:tq_mismatch""]"
pre_quantum_context_replacement,e5_registered_attacks_v6.csv,external_record,False,tq_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:tq_mismatch""]"
final_T_Q_qber_replacement,e5_registered_attacks_v6.csv,external_record,False,payload_schema_invalid,True,"V7 has no transmitted QBER field; injecting one is a schema error, not a T_Q update.","[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:payload_schema_invalid""]"
final_T_Q_threshold_replacement,e5_registered_attacks_v6.csv,external_record,False,params_hash_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:params_hash_mismatch""]"
final_T_Q_decision_replacement,e5_registered_attacks_v6.csv,external_record,False,qpass_context_unavailable,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:qpass_context_unavailable""]"
parameter_replacement,e5_registered_attacks_v6.csv,external_record,False,mode_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:mode_mismatch""]"
confirmation_before_recovery,e5_registered_attacks_v6.csv,local_send_gate,False,confirmation_requires_complete_local_recovery,True,The reviewed local check rejected the altered action.,"[""local_send_gate:confirmation_requires_complete_local_recovery""]"
wrong_gamma,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:PRF"",""reject:authentication_tag_invalid""]"
wrong_locally_recovered_message,e5_registered_attacks_v6.csv,local_fault,False,authentication_tag_invalid,True,A local recovery mismatch is detected by I8; it is not modeled as a network attacker label.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:PRF"",""reject:authentication_tag_invalid""]"
wrong_commitment_opening,e5_registered_attacks_v6.csv,external_record,False,commitment_opening_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:commitment_opening_mismatch""]"
commitment_replacement,e5_registered_attacks_v6.csv,external_record,False,authentication_tag_invalid,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""verify_prescribed_authenticator"",""verify_auth:K_A_mac"",""reject:authentication_tag_invalid""]"
duplicate_opening,e5_registered_attacks_v6.csv,replay,False,replayed_or_old_sequence,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:replayed_or_old_sequence""]"
out_of_order_opening,e5_registered_attacks_v6.csv,external_record,False,future_sequence,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:future_sequence""]"
salt_mismatch,e5_registered_attacks_v6.csv,external_record,False,commitment_opening_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:commitment_opening_mismatch""]"
block_number_replacement,e5_registered_attacks_v6.csv,external_record,False,opening_out_of_order_or_duplicate,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""check_payload_schema"",""reject:opening_out_of_order_or_duplicate""]"
cross_session_opening,e5_registered_attacks_v6.csv,external_record,False,sid_mismatch,True,The reviewed local check rejected the altered action.,"[""parse_ce1"",""check_header_context"",""reject:sid_mismatch""]"
