component,distribution,min_entropy_bits,q,recovery_rate,chosen_bit,guessed_bit,privacy_advantage,session,digest,notes,zipf_exponent,zipf_offset,preprocessing_seconds,online_query_seconds
chosen_message,two_equal_length_messages,1,2,1,0,0,0.5,challenge,6bf40a4f529546463f586438efdd9199071d878d1a6784313cb3a2d3cb420a71,Deterministic analytic attack witness; no Monte Carlo.,,,,
chosen_message,two_equal_length_messages,1,2,1,1,1,0.5,challenge,a73e59539e61b5e461f84ccd7748c13f69eb3ae98883b952581808acf62b777a,Deterministic analytic attack witness; no Monte Carlo.,,,,
cross_session_equality,deterministic,,,,,,,sid-A,2998e20177d75d960c4198a0726f55673de39177469bc785f6dacdadbc53788d,Public unkeyed digest is session-independent.,,,,
cross_session_equality,deterministic,,,,,,,sid-B,2998e20177d75d960c4198a0726f55673de39177469bc785f6dacdadbc53788d,Public unkeyed digest is session-independent.,,,,
cross_session_equality,deterministic,,,,,,,sid-C,d383f921a3952e8ea70ba4dff9f29a5852aca120974b468b7bb1a99a418a1b56,Public unkeyed digest is session-independent.,,,,
dictionary,uniform,4,1,0.0625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,4,2,0.125,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,4,16,1.0,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,2.1900050342082977e-05,4.998873919248581e-07
dictionary,zipf,4,1,0.06249999999999974,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,2.0936104394148045,,
dictionary,zipf,4,2,0.10715920143714892,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,2.0936104394148045,,
dictionary,zipf,4,16,0.32465844887284534,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,2.0936104394148045,2.1900050342082977e-05,4.998873919248581e-07
dictionary,uniform,8,1,0.00390625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,8,3,0.01171875,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,8,26,0.1015625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,8,256,1.0,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,0.00024780002422630787,5.997717380523682e-07
dictionary,zipf,8,1,0.003906250000000257,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,50.099608625153806,,
dictionary,zipf,8,3,0.011453068515244804,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,50.099608625153806,,
dictionary,zipf,8,26,0.07958205490804335,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,50.099608625153806,,
dictionary,zipf,8,256,0.30254408430885643,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,50.099608625153806,0.00024780002422630787,5.997717380523682e-07
dictionary,uniform,12,1,0.000244140625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,12,5,0.001220703125,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,12,41,0.010009765625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,12,410,0.10009765625,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,12,4096,1.0,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,0.003504600143060088,4.00003045797348e-07
dictionary,zipf,12,1,0.00024414062500020947,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,818.099975582961,,
dictionary,zipf,12,5,0.0012171407572427392,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,818.099975582961,,
dictionary,zipf,12,41,0.009726705636422929,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,818.099975582961,,
dictionary,zipf,12,410,0.07799718162741315,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,818.099975582961,,
dictionary,zipf,12,4096,0.3012582118632331,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,1.2,818.099975582961,0.003504600143060088,4.00003045797348e-07
dictionary,uniform,16,1,1.52587890625e-05,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,16,7,0.0001068115234375,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
dictionary,uniform,16,66,0.001007080078125,,,,,,Synthetic controlled distribution only; no real-business-distribution claim.,,,,
