initial_state,alice_message,bob_message,shots,bell_label_recovery_rate,alice_decode_rate,bob_decode_rate,bidirectional_decode_rate,acceptance_rate,honest_false_abort,seed_simulator
phi1,00,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,00,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,00,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,00,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,01,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,01,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,01,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,01,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,10,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,10,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,10,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,10,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,11,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,11,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,11,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi1,11,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,00,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,00,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,00,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,00,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,01,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,01,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,01,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,01,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,10,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,10,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,10,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,10,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,11,00,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,11,01,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,11,10,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
phi2,11,11,8192,1.0,1.0,1.0,1.0,1.0,0.0,2026083001
