configuration,L,q0,q1,qth,threshold_count,honest_acceptance_analytic,honest_false_abort_analytic,honest_acceptance_prism,honest_acceptance_empirical,honest_acceptance_ci_low,honest_acceptance_ci_high,attack_miss_analytic,attack_miss_prism,attack_miss_empirical,attack_miss_ci_low,attack_miss_ci_high,analytic_prism_max_error,monte_carlo_analytic_max_error,honest_states,honest_transitions,attack_states,attack_transitions,honest_model_construction_seconds,honest_model_checking_seconds,attack_model_construction_seconds,attack_model_checking_seconds,peak_memory_bytes,honest_prism_log,attack_prism_log,honest_p_value,attack_p_value,honest_holm_adjusted_p,attack_holm_adjusted_p
L16_q0000_q1020_t005,16,0.0,0.2,0.05,0,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.028147497671065596,0.0281474976710656,0.02842333333333333,0.028235890588025454,0.028611983771991978,3.469446951953614e-18,0.00027583566226773576,17,17,153,289,0.018,0.009,0.027,0.033,not_measured,e6_dtmc_L16_q0000_q1020_t005_honest_v6.log,e6_dtmc_L16_q0000_q1020_t005_attack_v6.log,1.0,0.003912726513281448,1.0,0.375621745275019
L16_q0000_q1020_t010,16,0.0,0.2,0.1,1,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.14073748835532812,0.140737488355328,0.14093933333333333,0.14054604769378848,0.14133353851621083,1.1102230246251565e-16,0.00020184497800521117,17,17,153,289,0.017,0.009,0.03,0.032,not_measured,e6_dtmc_L16_q0000_q1020_t010_honest_v6.log,e6_dtmc_L16_q0000_q1020_t010_attack_v6.log,1.0,0.31476351708761585,1.0,1.0
L16_q0000_q1020_t015,16,0.0,0.2,0.15,2,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.3518437208883203,0.35184372088832,0.3518966666666667,0.3513564543495781,0.35243725827184047,2.7755575615628914e-16,5.2945778346413785e-05,17,17,153,289,0.018,0.01,0.029,0.044,not_measured,e6_dtmc_L16_q0000_q1020_t015_honest_v6.log,e6_dtmc_L16_q0000_q1020_t015_attack_v6.log,1.0,0.8480353721862607,1.0,1.0
L16_q0001_q1020_t005,16,0.01,0.2,0.05,0,0.8514577710948756,0.14854222890512436,0.8514577710948756,0.8517053333333333,0.851302726651504,0.8521070393086126,0.028147497671065596,0.0281474976710656,0.02842333333333333,0.028235890588025454,0.028611983771991978,3.469446951953614e-18,0.00027583566226773576,153,289,153,289,0.026,0.029,0.029,0.028,not_measured,e6_dtmc_L16_q0001_q1020_t005_honest_v6.log,e6_dtmc_L16_q0001_q1020_t005_attack_v6.log,0.22805101778651482,0.003912726513281448,1.0,0.375621745275019
L16_q0001_q1020_t010,16,0.01,0.2,0.1,1,0.9890671078374818,0.010932892162518248,0.9890671078374818,0.989105,0.9889869033825698,0.9892218440345566,0.14073748835532812,0.140737488355328,0.14093933333333333,0.14054604769378848,0.14133353851621083,1.1102230246251565e-16,0.00020184497800521117,153,289,153,289,0.03,0.038,0.029,0.038,not_measured,e6_dtmc_L16_q0001_q1020_t010_honest_v6.log,e6_dtmc_L16_q0001_q1020_t010_attack_v6.log,0.5304031202276973,0.31476351708761585,1.0,1.0
L16_q0001_q1020_t015,16,0.01,0.2,0.15,2,0.9994920575907096,0.0005079424092904183,0.9994920575907096,0.9994856666666667,0.9994593625888042,0.9995106915770873,0.3518437208883203,0.35184372088832,0.3518966666666667,0.3513564543495781,0.35243725827184047,2.7755575615628914e-16,5.2945778346413785e-05,153,289,153,289,0.029,0.044,0.027,0.041,not_measured,e6_dtmc_L16_q0001_q1020_t015_honest_v6.log,e6_dtmc_L16_q0001_q1020_t015_attack_v6.log,0.6173082311052316,0.8480353721862607,1.0,1.0
L16_q0003_q1020_t005,16,0.03,0.2,0.05,0,0.6142536534626857,0.3857463465373143,0.6142536534626857,0.6141716666666667,0.6136206758059771,0.6147223651372266,0.028147497671065596,0.0281474976710656,0.02842333333333333,0.028235890588025454,0.028611983771991978,3.469446951953614e-18,0.00027583566226773576,153,289,153,289,0.027,0.027,0.027,0.026,not_measured,e6_dtmc_L16_q0003_q1020_t005_honest_v6.log,e6_dtmc_L16_q0003_q1020_t005_attack_v6.log,0.7704578633966348,0.003912726513281448,1.0,0.375621745275019
L16_q0003_q1020_t010,16,0.03,0.2,0.1,1,0.9182142242483446,0.08178577575165535,0.9182142242483446,0.9182453333333334,0.9179347536743244,0.9185548418788972,0.14073748835532812,0.140737488355328,0.14093933333333333,0.14054604769378848,0.14133353851621083,1.1102230246251565e-16,0.00020184497800521117,153,289,153,289,0.034,0.039,0.03,0.04,not_measured,e6_dtmc_L16_q0003_q1020_t010_honest_v6.log,e6_dtmc_L16_q0003_q1020_t010_attack_v6.log,0.8454858265365475,0.31476351708761585,1.0,1.0
L16_q0003_q1020_t015,16,0.03,0.2,0.15,2,0.9887205422140902,0.011279457785909774,0.9887205422140902,0.9887443333333333,0.9886243304739638,0.9888630845334855,0.3518437208883203,0.35184372088832,0.3518966666666667,0.3513564543495781,0.35243725827184047,2.7755575615628914e-16,5.2945778346413785e-05,153,289,153,289,0.027,0.04,0.03,0.045,not_measured,e6_dtmc_L16_q0003_q1020_t015_honest_v6.log,e6_dtmc_L16_q0003_q1020_t015_attack_v6.log,0.6999168351282181,0.8480353721862607,1.0,1.0
L16_q0005_q1020_t005,16,0.05,0.2,0.05,0,0.4401266686517657,0.5598733313482342,0.4401266686517657,0.4400886666666667,0.4395270272314942,0.44065045953292264,0.028147497671065596,0.0281474976710656,0.02842333333333333,0.028235890588025454,0.028611983771991978,3.469446951953614e-18,0.00027583566226773576,153,289,153,289,0.029,0.028,0.028,0.029,not_measured,e6_dtmc_L16_q0005_q1020_t005_honest_v6.log,e6_dtmc_L16_q0005_q1020_t005_attack_v6.log,0.8949776663924172,0.003912726513281448,1.0,0.375621745275019
L16_q0005_q1020_t010,16,0.05,0.2,0.1,1,0.8107596527795686,0.18924034722043137,0.8107596527795684,0.810794,0.8103503914969712,0.8112368125691463,0.14073748835532812,0.140737488355328,0.14093933333333333,0.14054604769378848,0.14133353851621083,2.220446049250313e-16,0.00020184497800521117,153,289,153,289,0.029,0.04,0.03,0.033,not_measured,e6_dtmc_L16_q0005_q1020_t010_honest_v6.log,e6_dtmc_L16_q0005_q1020_t010_attack_v6.log,0.8799116994292455,0.31476351708761585,1.0,1.0
L16_q0005_q1020_t015,16,0.05,0.2,0.15,2,0.9570621465142274,0.042937853485772615,0.9570621465142274,0.9569593333333334,0.956729093771815,0.9571884026360425,0.3518437208883203,0.35184372088832,0.3518966666666667,0.3513564543495781,0.35243725827184047,2.7755575615628914e-16,0.00010281318089400138,153,289,153,289,0.028,0.05,0.03,0.042,not_measured,e6_dtmc_L16_q0005_q1020_t015_honest_v6.log,e6_dtmc_L16_q0005_q1020_t015_attack_v6.log,0.37960360662275583,0.8480353721862607,1.0,1.0
L32_q0000_q1020_t005,32,0.0,0.2,0.05,1,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.0071305346262838035,0.0071305346262837905,0.007167,0.007072175010362664,0.007263087119804515,1.3010426069826053e-17,3.646537371619629e-05,33,33,561,1089,0.02,0.012,0.039,0.069,not_measured,e6_dtmc_L32_q0000_q1020_t005_honest_v6.log,e6_dtmc_L32_q0000_q1020_t005_attack_v6.log,1.0,0.452436363095995,1.0,1.0
L32_q0000_q1020_t010,32,0.0,0.2,0.1,3,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.09309309095426076,0.09309309095426059,0.093191,0.09286256884008451,0.09352047298526239,1.6653345369377348e-16,9.790904573923898e-05,33,33,561,1089,0.019,0.012,0.043,0.116,not_measured,e6_dtmc_L32_q0000_q1020_t010_honest_v6.log,e6_dtmc_L32_q0000_q1020_t010_attack_v6.log,1.0,0.5590993202733927,1.0,1.0
L32_q0000_q1020_t015,32,0.0,0.2,0.15,4,1.0,0.0,1.0,1.0,0.9999987195153661,1.0,0.20438390048601662,0.2043839004860163,0.204601,0.20414488566517028,0.20505787084259056,3.3306690738754696e-16,0.000217099513983382,33,33,561,1089,0.018,0.012,0.043,0.118,not_measured,e6_dtmc_L32_q0000_q1020_t015_honest_v6.log,e6_dtmc_L32_q0000_q1020_t015_attack_v6.log,1.0,0.35093427418235656,1.0,1.0
L32_q0001_q1020_t005,32,0.01,0.2,0.05,1,0.9593174142472609,0.04068258575273909,0.9593174142472609,0.959372,0.9591480057299443,0.9595948178324812,0.0071305346262838035,0.0071305346262837905,0.007167,0.007072175010362664,0.007263087119804515,1.3010426069826053e-17,5.4585752739089166e-05,561,1089,561,1089,0.042,0.075,0.043,0.068,not_measured,e6_dtmc_L32_q0001_q1020_t005_honest_v6.log,e6_dtmc_L32_q0001_q1020_t005_attack_v6.log,0.6338128781181022,0.452436363095995,1.0,1.0
L32_q0001_q1020_t010,32,0.01,0.2,0.1,3,0.9997125263552044,0.00028747364479564386,0.9997125263552044,0.9997076666666667,0.99968767148045,0.9997263821169061,0.09309309095426076,0.09309309095426059,0.093191,0.09286256884008451,0.09352047298526239,1.6653345369377348e-16,9.790904573923898e-05,561,1089,561,1089,0.041,0.126,0.041,0.104,not_measured,e6_dtmc_L32_q0001_q1020_t010_honest_v6.log,e6_dtmc_L32_q0001_q1020_t010_attack_v6.log,0.609464319578978,0.5590993202733927,1.0,1.0
L32_q0001_q1020_t015,32,0.01,0.2,0.15,4,0.9999839234108827,1.607658911728649e-05,0.9999839234108827,0.9999806666666666,0.9999750099327682,0.9999850429654433,0.20438390048601662,0.2043839004860163,0.204601,0.20414488566517028,0.20505787084259056,3.3306690738754696e-16,0.000217099513983382,561,1089,561,1089,0.04,0.153,0.048,0.125,not_measured,e6_dtmc_L32_q0001_q1020_t015_honest_v6.log,e6_dtmc_L32_q0001_q1020_t015_attack_v6.log,0.17035949832315206,0.35093427418235656,1.0,1.0
L32_q0003_q1020_t005,32,0.03,0.2,0.05,1,0.7507253330196462,0.24927466698035383,0.7507253330196457,0.7506116666666667,0.7501217552416589,0.7511009362828981,0.0071305346262838035,0.0071305346262837905,0.007167,0.007072175010362664,0.007263087119804515,4.440892098500626e-16,0.00011366635297949124,561,1089,561,1089,0.045,0.074,0.04,0.067,not_measured,e6_dtmc_L32_q0003_q1020_t005_honest_v6.log,e6_dtmc_L32_q0003_q1020_t005_attack_v6.log,0.6490318041634047,0.452436363095995,1.0,1.0
