configuration,role,seed,L,q0,q1,q,qth,threshold_count,trials,accepted,acceptance_rate,simulation_level
L16_q0000_q1020_t005,honest,2026083001,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083001,16,0.0,0.2,0.2,0.05,0,100000,2866,0.02866,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083002,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083002,16,0.0,0.2,0.2,0.05,0,100000,2842,0.02842,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083003,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083003,16,0.0,0.2,0.2,0.05,0,100000,2861,0.02861,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083004,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083004,16,0.0,0.2,0.2,0.05,0,100000,2862,0.02862,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083005,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083005,16,0.0,0.2,0.2,0.05,0,100000,2801,0.02801,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083006,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083006,16,0.0,0.2,0.2,0.05,0,100000,2844,0.02844,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083007,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083007,16,0.0,0.2,0.2,0.05,0,100000,2806,0.02806,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083008,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083008,16,0.0,0.2,0.2,0.05,0,100000,2805,0.02805,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083009,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083009,16,0.0,0.2,0.2,0.05,0,100000,2808,0.02808,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083010,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083010,16,0.0,0.2,0.2,0.05,0,100000,2892,0.02892,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083011,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083011,16,0.0,0.2,0.2,0.05,0,100000,2904,0.02904,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083012,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083012,16,0.0,0.2,0.2,0.05,0,100000,2805,0.02805,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083013,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083013,16,0.0,0.2,0.2,0.05,0,100000,2879,0.02879,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083014,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083014,16,0.0,0.2,0.2,0.05,0,100000,2834,0.02834,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083015,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083015,16,0.0,0.2,0.2,0.05,0,100000,2822,0.02822,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083016,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083016,16,0.0,0.2,0.2,0.05,0,100000,2878,0.02878,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083017,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083017,16,0.0,0.2,0.2,0.05,0,100000,2863,0.02863,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083018,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083018,16,0.0,0.2,0.2,0.05,0,100000,2824,0.02824,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083019,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083019,16,0.0,0.2,0.2,0.05,0,100000,2839,0.02839,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083020,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083020,16,0.0,0.2,0.2,0.05,0,100000,2852,0.02852,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083021,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083021,16,0.0,0.2,0.2,0.05,0,100000,2843,0.02843,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083022,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083022,16,0.0,0.2,0.2,0.05,0,100000,2798,0.02798,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083023,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083023,16,0.0,0.2,0.2,0.05,0,100000,2785,0.02785,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083024,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083024,16,0.0,0.2,0.2,0.05,0,100000,2886,0.02886,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083025,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083025,16,0.0,0.2,0.2,0.05,0,100000,2811,0.02811,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083026,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083026,16,0.0,0.2,0.2,0.05,0,100000,2905,0.02905,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083027,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083027,16,0.0,0.2,0.2,0.05,0,100000,2827,0.02827,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083028,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083028,16,0.0,0.2,0.2,0.05,0,100000,2755,0.02755,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083029,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083029,16,0.0,0.2,0.2,0.05,0,100000,2875,0.02875,L_independent_error_events_per_trial
L16_q0000_q1020_t005,honest,2026083030,16,0.0,0.2,0.0,0.05,0,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t005,attack,2026083030,16,0.0,0.2,0.2,0.05,0,100000,2898,0.02898,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083001,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083001,16,0.0,0.2,0.2,0.1,1,100000,14203,0.14203,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083002,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083002,16,0.0,0.2,0.2,0.1,1,100000,14144,0.14144,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083003,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083003,16,0.0,0.2,0.2,0.1,1,100000,14022,0.14022,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083004,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083004,16,0.0,0.2,0.2,0.1,1,100000,14062,0.14062,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083005,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083005,16,0.0,0.2,0.2,0.1,1,100000,14031,0.14031,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083006,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083006,16,0.0,0.2,0.2,0.1,1,100000,14111,0.14111,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083007,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083007,16,0.0,0.2,0.2,0.1,1,100000,13907,0.13907,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083008,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083008,16,0.0,0.2,0.2,0.1,1,100000,14096,0.14096,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083009,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083009,16,0.0,0.2,0.2,0.1,1,100000,14082,0.14082,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083010,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083010,16,0.0,0.2,0.2,0.1,1,100000,14212,0.14212,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083011,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083011,16,0.0,0.2,0.2,0.1,1,100000,14057,0.14057,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083012,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083012,16,0.0,0.2,0.2,0.1,1,100000,14036,0.14036,L_independent_error_events_per_trial
L16_q0000_q1020_t010,honest,2026083013,16,0.0,0.2,0.0,0.1,1,100000,100000,1.0,L_independent_error_events_per_trial
L16_q0000_q1020_t010,attack,2026083013,16,0.0,0.2,0.2,0.1,1,100000,14183,0.14183,L_independent_error_events_per_trial
