configuration,configuration_class,n_blocks,message_length_bits,lambda_bits,corrupted_party,initial_leader,k,pmax_reach_abs_lead_ge_k,enumeration_reachable,enumerated_maximum_lead,query_log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,0,1.0,True,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_00_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,1,1.0,True,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_01_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,2,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_02_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,3,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_03_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,4,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_04_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,5,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_05_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,6,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_06_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,7,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_07_v6.log
corrupt_alice_leader_alice_n4_lambda1,paper_main,4,8,1,alice,alice,8,0.0,False,1,e6_corrupt_alice_leader_alice_n4_lambda1_lead_ge_08_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,0,1.0,True,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_00_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,1,1.0,True,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_01_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,2,1.0,True,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_02_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,3,0.0,False,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_03_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,4,0.0,False,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_04_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,5,0.0,False,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_05_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,6,0.0,False,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_06_v6.log
corrupt_alice_leader_alice_n4_lambda2,paper_main,4,8,2,alice,alice,7,0.0,False,2,e6_corrupt_alice_leader_alice_n4_lambda2_lead_ge_07_v6.log
