scenario,security_bits,f,ell_per_sequence,total_decoys_2ell,analytic_undetected,deployment_status,q0,q1,qth,target_honest_false_abort,target_attack_miss,minimum_total_decoys_L,effective_total_decoys_2ell,honest_false_abort_at_minimum_L,attack_miss_at_minimum_L,honest_false_abort_at_effective_2ell,attack_miss_at_effective_2ell,search_max_L,status
ideal_zero_background_full_random_basis_IMR,128,1.0,155,310,1.8577687423031265e-39,ideal_analytic_value_not_real_optical_parameter,,,,,,,,,,,,,
threshold_derived,,,59,,,,0.0,0.2,0.05,0.01,1e-06,117,118,0.0,9.041039318908819e-07,0.0,7.53996478474863e-07,20000,found
threshold_derived,,,154,,,,0.0,0.2,0.1,0.01,1e-06,307,308,0.0,9.512333447435053e-07,0.0,8.410125579899782e-07,20000,found
threshold_derived,,,670,,,,0.0,0.2,0.15,0.01,1e-06,1339,1340,0.0,9.911589975535713e-07,0.0,1.336192710505192e-06,20000,found
threshold_derived,,,59,,,,0.01,0.2,0.05,0.01,1e-06,117,118,0.0012150876627535778,9.041039318908819e-07,0.0012694484246551507,7.53996478474863e-07,20000,found
threshold_derived,,,154,,,,0.01,0.2,0.1,0.01,1e-06,307,308,0.0,9.512333447435053e-07,0.0,8.410125579899782e-07,20000,found
threshold_derived,,,670,,,,0.01,0.2,0.15,0.01,1e-06,1339,1340,0.0,9.911589975535713e-07,0.0,1.336192710505192e-06,20000,found
threshold_derived,,,210,,,,0.03,0.2,0.05,0.01,1e-06,420,420,0.009170643551002167,8.213886544406192e-19,0.009170643551002167,8.213886544406192e-19,20000,found
threshold_derived,,,154,,,,0.03,0.2,0.1,0.01,1e-06,307,308,6.0005145297026274e-09,9.512333447435053e-07,6.480177949796939e-09,8.410125579899782e-07,20000,found
threshold_derived,,,670,,,,0.03,0.2,0.15,0.01,1e-06,1339,1340,0.0,9.911589975535713e-07,0.0,1.336192710505192e-06,20000,found
threshold_derived,,,,,,,0.05,0.2,0.05,0.01,1e-06,,,,,,,20000,not_found
threshold_derived,,,154,,,,0.05,0.2,0.1,0.01,1e-06,307,308,0.0001902038607654033,9.512333447435053e-07,0.00020147365648037763,8.410125579899782e-07,20000,found
threshold_derived,,,670,,,,0.05,0.2,0.15,0.01,1e-06,1339,1340,0.0,9.911589975535713e-07,0.0,1.336192710505192e-06,20000,found
