resource_class,benchmark_status,n_blocks,ell_per_sequence,ell_scenario,rho_bits,d_H_bits,nu_bits,h_bits,tau_bits,commitment_bits,salt_bits,theoretical_compact_decoy_bits,KE_QKD_communication_included,parameter_source,mode,lambda_bits,r,formula,paper_analytic_bits
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,4,reference_executor_small,256,256,128,256,128,256,128,22,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,794
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,4,reference_executor_small,256,256,128,256,128,256,128,22,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2592
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,4,reference_executor_small,256,256,128,256,128,256,128,22,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6436
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,1,4,reference_executor_small,256,256,128,256,128,256,128,22,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),4900
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,4,reference_executor_small,256,256,128,256,128,256,128,24,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,800
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,4,reference_executor_small,256,256,128,256,128,256,128,24,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2598
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,4,reference_executor_small,256,256,128,256,128,256,128,24,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9518
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,4,reference_executor_small,256,256,128,256,128,256,128,24,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6446
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,2,4,reference_executor_small,256,256,128,256,128,256,128,24,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,1,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),4910
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,4,4,reference_executor_small,256,256,128,256,128,256,128,30,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,814
