resource_class,ell_scenario,source,n_blocks,message_length_bits_per_party,ell_per_sequence,q0,q1,qth,Q_prep_qubits,Q_tx_qubits,Q_store_qubits,N_meas_measurements,eta_q,ideal_random_basis_IMR_P_und,theoretical_compact_decoy_bits,actual_wire_bytes,ell_consistent_within_row,claim_boundary
paper_analytic,reference_executor_small,V6 reference-executor benchmark,1,2,4,,,,14,10,4,14,0.2857142857142857,0.1001129150390625,22,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,reference_executor_small,V6 reference-executor benchmark,2,4,4,,,,20,12,8,20,0.4,0.1001129150390625,24,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,reference_executor_small,V6 reference-executor benchmark,4,8,4,,,,32,16,16,32,0.5,0.1001129150390625,30,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,reference_executor_small,V6 reference-executor benchmark,8,16,4,,,,56,24,32,56,0.5714285714285714,0.1001129150390625,34,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,reference_executor_small,V6 reference-executor benchmark,16,32,4,,,,104,40,64,104,0.6153846153846154,0.1001129150390625,42,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,reference_executor_small,V6 reference-executor benchmark,32,64,4,,,,200,72,128,200,0.64,0.1001129150390625,48,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,1,2,155,0.0,0.25,0.0,316,312,4,316,0.012658227848101266,1.8577687423031265e-39,636,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,2,4,155,0.0,0.25,0.0,322,314,8,322,0.024844720496894408,1.8577687423031265e-39,648,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,4,8,155,0.0,0.25,0.0,334,318,16,334,0.04790419161676647,1.8577687423031265e-39,670,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,8,16,155,0.0,0.25,0.0,358,326,32,358,0.0893854748603352,1.8577687423031265e-39,708,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,16,32,155,0.0,0.25,0.0,406,342,64,406,0.15763546798029557,1.8577687423031265e-39,768,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,ideal_zero_background_full_random_basis_IMR,analytic kappa=128 ideal full-random-basis IMR; not deployment parameter,32,64,155,0.0,0.25,0.0,502,374,128,502,0.2549800796812749,1.8577687423031265e-39,860,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,1,2,59,0.0,0.2,0.05,124,120,4,124,0.03225806451612903,1.8081276197079145e-15,248,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,2,4,59,0.0,0.2,0.05,130,122,8,130,0.06153846153846154,1.8081276197079145e-15,258,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,4,8,59,0.0,0.2,0.05,142,126,16,142,0.11267605633802817,1.8081276197079145e-15,276,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,8,16,59,0.0,0.2,0.05,166,134,32,166,0.1927710843373494,1.8081276197079145e-15,302,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,16,32,59,0.0,0.2,0.05,214,150,64,214,0.29906542056074764,1.8081276197079145e-15,342,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.05,exact binomial-tail threshold search,32,64,59,0.0,0.2,0.05,310,182,128,310,0.4129032258064516,1.8081276197079145e-15,400,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,1,2,154,0.0,0.2,0.1,314,310,4,314,0.012738853503184714,3.3026999863166694e-39,632,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,2,4,154,0.0,0.2,0.1,320,312,8,320,0.025,3.3026999863166694e-39,644,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,4,8,154,0.0,0.2,0.1,332,316,16,332,0.04819277108433735,3.3026999863166694e-39,666,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,8,16,154,0.0,0.2,0.1,356,324,32,356,0.0898876404494382,3.3026999863166694e-39,704,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,16,32,154,0.0,0.2,0.1,404,340,64,404,0.15841584158415842,3.3026999863166694e-39,764,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.1,exact binomial-tail threshold search,32,64,154,0.0,0.2,0.1,500,372,128,500,0.256,3.3026999863166694e-39,856,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,1,2,670,0.0,0.2,0.15,1346,1342,4,1346,0.0029717682020802376,3.820260208141876e-168,2700,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,2,4,670,0.0,0.2,0.15,1352,1344,8,1352,0.005917159763313609,3.820260208141876e-168,2716,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,4,8,670,0.0,0.2,0.15,1364,1348,16,1364,0.011730205278592375,3.820260208141876e-168,2746,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,8,16,670,0.0,0.2,0.15,1388,1356,32,1388,0.023054755043227664,3.820260208141876e-168,2800,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,16,32,670,0.0,0.2,0.15,1436,1372,64,1436,0.04456824512534819,3.820260208141876e-168,2894,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.0_qth_0.15,exact binomial-tail threshold search,32,64,670,0.0,0.2,0.15,1532,1404,128,1532,0.0835509138381201,3.820260208141876e-168,3048,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,1,2,59,0.01,0.2,0.05,124,120,4,124,0.03225806451612903,1.8081276197079145e-15,248,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,2,4,59,0.01,0.2,0.05,130,122,8,130,0.06153846153846154,1.8081276197079145e-15,258,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,4,8,59,0.01,0.2,0.05,142,126,16,142,0.11267605633802817,1.8081276197079145e-15,276,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,8,16,59,0.01,0.2,0.05,166,134,32,166,0.1927710843373494,1.8081276197079145e-15,302,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,16,32,59,0.01,0.2,0.05,214,150,64,214,0.29906542056074764,1.8081276197079145e-15,342,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.05,exact binomial-tail threshold search,32,64,59,0.01,0.2,0.05,310,182,128,310,0.4129032258064516,1.8081276197079145e-15,400,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,1,2,154,0.01,0.2,0.1,314,310,4,314,0.012738853503184714,3.3026999863166694e-39,632,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,2,4,154,0.01,0.2,0.1,320,312,8,320,0.025,3.3026999863166694e-39,644,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,4,8,154,0.01,0.2,0.1,332,316,16,332,0.04819277108433735,3.3026999863166694e-39,666,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,8,16,154,0.01,0.2,0.1,356,324,32,356,0.0898876404494382,3.3026999863166694e-39,704,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,16,32,154,0.01,0.2,0.1,404,340,64,404,0.15841584158415842,3.3026999863166694e-39,764,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.1,exact binomial-tail threshold search,32,64,154,0.01,0.2,0.1,500,372,128,500,0.256,3.3026999863166694e-39,856,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.15,exact binomial-tail threshold search,1,2,670,0.01,0.2,0.15,1346,1342,4,1346,0.0029717682020802376,3.820260208141876e-168,2700,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.15,exact binomial-tail threshold search,2,4,670,0.01,0.2,0.15,1352,1344,8,1352,0.005917159763313609,3.820260208141876e-168,2716,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
paper_analytic,threshold_q0_0.01_qth_0.15,exact binomial-tail threshold search,4,8,670,0.01,0.2,0.15,1364,1348,16,1364,0.011730205278592375,3.820260208141876e-168,2746,not_applicable_paper_analytic,True,analytic finite-parameter resource count; not hardware performance
