resource_class,mode,n_blocks,lambda_bits,ell_per_sequence,prepared_qubits_configured,transmitted_qubits_configured,local_storage_qubits_configured,protocol_total_measurements,theoretical_compact_decoy_bits,actual_decoy_payload_bytes,actual_decoy_record_bytes,actual_total_wire_bytes,encoding_overhead_ratio_payload_bits_over_compact,actual_header_bytes,actual_tag_bytes,record_count,upper_layer_round_count,KE_internal_round_count,ell_consistent_within_row,full_D_decoy_in_wire_record,tau_dist_covers_full_D_decoy
reference_implementation_actual,basic,1,,4,14,10,4,14,22,441,1176,4290,160.36363636363637,2769,192,6,5,not_measured,True,True,True
reference_implementation_actual,basic,2,,4,20,12,8,20,24,441,1183,4332,147.0,2811,192,6,5,not_measured,True,True,True
reference_implementation_actual,basic,4,,4,32,16,16,32,30,441,1197,4416,117.6,2895,192,6,5,not_measured,True,True,True
reference_implementation_actual,basic,8,,4,56,24,32,56,34,442,1227,4597,104.0,3069,192,6,5,not_measured,True,True,True
reference_implementation_actual,basic,16,,4,104,40,64,104,42,445,1287,4950,84.76190476190476,3411,192,6,5,not_measured,True,True,True
reference_implementation_actual,basic,32,,4,200,72,128,200,48,447,1401,5640,74.5,4083,192,6,5,not_measured,True,True,True
reference_implementation_actual,fair,1,1,4,14,10,4,14,22,441,1226,10118,160.36363636363637,7097,448,14,8,not_measured,True,True,True
reference_implementation_actual,fair,1,2,4,14,10,4,14,22,441,1226,7364,160.36363636363637,5083,320,10,7,not_measured,True,True,True
reference_implementation_actual,fair,2,1,4,20,12,8,20,24,441,1233,15786,147.0,11281,704,22,10,not_measured,True,True,True
reference_implementation_actual,fair,2,2,4,20,12,8,20,24,441,1233,10220,147.0,7195,448,14,8,not_measured,True,True,True
reference_implementation_actual,fair,2,4,4,20,12,8,20,24,441,1233,7438,147.0,5153,320,10,7,not_measured,True,True,True
reference_implementation_actual,fair,4,1,4,32,16,16,32,30,441,1247,27470,117.6,19997,1216,38,14,not_measured,True,True,True
reference_implementation_actual,fair,4,2,4,32,16,16,32,30,441,1247,16102,117.6,11589,704,22,10,not_measured,True,True,True
reference_implementation_actual,fair,4,4,4,32,16,16,32,30,441,1247,10424,117.6,7391,448,14,8,not_measured,True,True,True
reference_implementation_actual,fair,4,8,4,32,16,16,32,30,441,1247,7586,117.6,5293,320,10,7,not_measured,True,True,True
reference_implementation_actual,fair,8,1,4,56,24,32,56,34,442,1277,52283,104.0,38843,2240,70,22,not_measured,True,True,True
reference_implementation_actual,fair,8,2,4,56,24,32,56,34,442,1277,28595,104.0,21099,1216,38,14,not_measured,True,True,True
reference_implementation_actual,fair,8,4,4,56,24,32,56,34,442,1277,16763,104.0,12227,704,22,10,not_measured,True,True,True
reference_implementation_actual,fair,8,8,4,56,24,32,56,34,442,1277,10853,104.0,7797,448,14,8,not_measured,True,True,True
reference_implementation_actual,fair,16,1,4,104,40,64,104,42,445,1337,107356,84.76190476190476,81969,4288,134,38,not_measured,True,True,True
