mode,n_blocks,lambda_bits,ell_per_sequence,round_index,phase,send_events,one_way_authenticated_record_count,upper_layer_round_count,KE_internal_round_count
basic,1,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,1,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,1,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
basic,1,,4,4,protected_dialogue_ciphertexts,Alice_to_Bob_C_A|Bob_to_Alice_C_B,6,5,not_measured
basic,1,,4,5,keyed_message_confirmation,Alice_to_Bob_gamma_A|Bob_to_Alice_gamma_B,6,5,not_measured
basic,2,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,2,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,2,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
basic,2,,4,4,protected_dialogue_ciphertexts,Alice_to_Bob_C_A|Bob_to_Alice_C_B,6,5,not_measured
basic,2,,4,5,keyed_message_confirmation,Alice_to_Bob_gamma_A|Bob_to_Alice_gamma_B,6,5,not_measured
basic,4,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,4,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,4,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
basic,4,,4,4,protected_dialogue_ciphertexts,Alice_to_Bob_C_A|Bob_to_Alice_C_B,6,5,not_measured
basic,4,,4,5,keyed_message_confirmation,Alice_to_Bob_gamma_A|Bob_to_Alice_gamma_B,6,5,not_measured
basic,8,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,8,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,8,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
basic,8,,4,4,protected_dialogue_ciphertexts,Alice_to_Bob_C_A|Bob_to_Alice_C_B,6,5,not_measured
basic,8,,4,5,keyed_message_confirmation,Alice_to_Bob_gamma_A|Bob_to_Alice_gamma_B,6,5,not_measured
basic,16,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,16,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,16,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
basic,16,,4,4,protected_dialogue_ciphertexts,Alice_to_Bob_C_A|Bob_to_Alice_C_B,6,5,not_measured
basic,16,,4,5,keyed_message_confirmation,Alice_to_Bob_gamma_A|Bob_to_Alice_gamma_B,6,5,not_measured
basic,32,,4,1,session_and_parameter_negotiation,N_A_and_params|N_B_and_params,6,5,not_measured
basic,32,,4,2,authenticated_quantum_receipt,Bob_to_Alice_QRECV,6,5,not_measured
basic,32,,4,3,authenticated_decoy_disclosure,Alice_to_Bob_DECOY_DISCLOSURE,6,5,not_measured
