component,distribution,min_entropy_bits,q,recovery_rate,chosen_bit,guessed_bit,privacy_advantage,session,digest,method,collision_precondition,zipf_exponent,zipf_offset,preprocessing_seconds,online_query_seconds
chosen_message,two_equal_length_messages,1,2,1,0,0,0.5,challenge,6bf40a4f529546463f586438efdd9199071d878d1a6784313cb3a2d3cb420a71,deterministic lookup; no Monte Carlo,the two candidate digests are distinct,,,,
chosen_message,two_equal_length_messages,1,2,1,1,1,0.5,challenge,a73e59539e61b5e461f84ccd7748c13f69eb3ae98883b952581808acf62b777a,deterministic lookup; no Monte Carlo,the two candidate digests are distinct,,,,
cross_session_equality,deterministic,,,,,,,sid-A,2998e20177d75d960c4198a0726f55673de39177469bc785f6dacdadbc53788d,deterministic hash equality; no Monte Carlo,same-message equality is exact; different-message distinction holds for this witness only,,,,
cross_session_equality,deterministic,,,,,,,sid-B,2998e20177d75d960c4198a0726f55673de39177469bc785f6dacdadbc53788d,deterministic hash equality; no Monte Carlo,same-message equality is exact; different-message distinction holds for this witness only,,,,
cross_session_equality,deterministic,,,,,,,sid-C,d383f921a3952e8ea70ba4dff9f29a5852aca120974b468b7bb1a99a418a1b56,deterministic hash equality; no Monte Carlo,same-message equality is exact; different-message distinction holds for this witness only,,,,
dictionary,uniform,4,1,0.0625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,4,2,0.125,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,4,16,1.0,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,2.5599729269742966e-05,6.002373993396759e-07
dictionary,zipf,4,1,0.06249999999999974,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,2.0936104394148045,,
dictionary,zipf,4,2,0.10715920143714892,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,2.0936104394148045,,
dictionary,zipf,4,16,0.32465844887284534,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,2.0936104394148045,2.5599729269742966e-05,6.002373993396759e-07
dictionary,uniform,8,1,0.00390625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,8,3,0.01171875,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,8,26,0.1015625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,8,256,1.0,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,0.0002478002570569515,5.00120222568512e-07
dictionary,zipf,8,1,0.003906250000000257,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,50.099608625153806,,
dictionary,zipf,8,3,0.011453068515244804,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,50.099608625153806,,
dictionary,zipf,8,26,0.07958205490804335,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,50.099608625153806,,
dictionary,zipf,8,256,0.30254408430885643,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,50.099608625153806,0.0002478002570569515,5.00120222568512e-07
dictionary,uniform,12,1,0.000244140625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,12,5,0.001220703125,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,12,41,0.010009765625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,12,410,0.10009765625,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
dictionary,uniform,12,4096,1.0,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,0.0038642999716103077,4.800036549568176e-06
dictionary,zipf,12,1,0.00024414062500020947,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,818.099975582961,,
dictionary,zipf,12,5,0.0012171407572427392,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,818.099975582961,,
dictionary,zipf,12,41,0.009726705636422929,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,818.099975582961,,
dictionary,zipf,12,410,0.07799718162741315,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,818.099975582961,,
dictionary,zipf,12,4096,0.3012582118632331,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,1.2,818.099975582961,0.0038642999716103077,4.800036549568176e-06
dictionary,uniform,16,1,1.52587890625e-05,,,,,,exact distribution sum plus one synthetic dictionary timing,recovery equality assumes no digest collision inside the enumerated dictionary,,,,
