strategy,L,attack_fraction,base_seed,derived_seed,trials,undetected,attacked_particles,attacked_particle_passes,analytic_undetected,simulation_level
random_replacement,8,0.25,2026090501,133800344,20000,6942,39676,19768,0.34360891580581665,explicit_BB84_particle_events
random_replacement,8,0.25,2026090502,2517594228,20000,6782,40256,20140,0.34360891580581665,explicit_BB84_particle_events
random_replacement,8,0.25,2026090503,2728982906,20000,6839,39878,19902,0.34360891580581665,explicit_BB84_particle_events
random_replacement,8,0.25,2026090504,910152709,20000,6833,40087,20081,0.34360891580581665,explicit_BB84_particle_events
random_replacement,8,0.25,2026090505,670143004,20000,6795,40235,20061,0.34360891580581665,explicit_BB84_particle_events
random_replacement,8,1.0,2026090501,2103038126,20000,76,160000,80005,0.00390625,explicit_BB84_particle_events
random_replacement,8,1.0,2026090502,4202811449,20000,81,160000,79755,0.00390625,explicit_BB84_particle_events
random_replacement,8,1.0,2026090503,2202462157,20000,83,160000,79883,0.00390625,explicit_BB84_particle_events
random_replacement,8,1.0,2026090504,1564681794,20000,74,160000,79964,0.00390625,explicit_BB84_particle_events
random_replacement,8,1.0,2026090505,3914302163,20000,74,160000,80055,0.00390625,explicit_BB84_particle_events
random_replacement,16,0.25,2026090501,2344048430,20000,2417,79427,39680,0.1180670870212488,explicit_BB84_particle_events
random_replacement,16,0.25,2026090502,4274007328,20000,2297,80132,39942,0.1180670870212488,explicit_BB84_particle_events
random_replacement,16,0.25,2026090503,2716538750,20000,2383,79801,39937,0.1180670870212488,explicit_BB84_particle_events
random_replacement,16,0.25,2026090504,3938751031,20000,2391,79995,40124,0.1180670870212488,explicit_BB84_particle_events
random_replacement,16,0.25,2026090505,3119847916,20000,2386,80359,40337,0.1180670870212488,explicit_BB84_particle_events
random_replacement,16,1.0,2026090501,1384562888,20000,0,320000,159901,1.52587890625e-05,explicit_BB84_particle_events
random_replacement,16,1.0,2026090502,1179289370,20000,0,320000,160064,1.52587890625e-05,explicit_BB84_particle_events
random_replacement,16,1.0,2026090503,1631990792,20000,0,320000,159957,1.52587890625e-05,explicit_BB84_particle_events
random_replacement,16,1.0,2026090504,2201615820,20000,1,320000,159741,1.52587890625e-05,explicit_BB84_particle_events
random_replacement,16,1.0,2026090505,3518491966,20000,1,320000,159771,1.52587890625e-05,explicit_BB84_particle_events
random_replacement,64,0.25,2026090501,4249716133,20000,3,319831,159484,0.00019431905663716255,explicit_BB84_particle_events
random_replacement,64,0.25,2026090502,2333994348,20000,7,320279,160123,0.00019431905663716255,explicit_BB84_particle_events
random_replacement,64,0.25,2026090503,3484624326,20000,3,319500,160015,0.00019431905663716255,explicit_BB84_particle_events
random_replacement,64,0.25,2026090504,1785394067,20000,3,320590,160409,0.00019431905663716255,explicit_BB84_particle_events
random_replacement,64,0.25,2026090505,2190933010,20000,8,320119,160346,0.00019431905663716255,explicit_BB84_particle_events
random_replacement,64,1.0,2026090501,302869016,20000,0,1280000,640125,5.421010862427522e-20,explicit_BB84_particle_events
random_replacement,64,1.0,2026090502,3254594615,20000,0,1280000,640532,5.421010862427522e-20,explicit_BB84_particle_events
random_replacement,64,1.0,2026090503,3769600634,20000,0,1280000,639375,5.421010862427522e-20,explicit_BB84_particle_events
random_replacement,64,1.0,2026090504,3594655040,20000,0,1280000,639839,5.421010862427522e-20,explicit_BB84_particle_events
