profile,cluster_state,message_a,message_b,single_qubit,two_qubit,readout,shots,seed,valid_bell_support_rate,alice_local_decode_rate,bob_local_decode_rate,bidirectional_decode_rate,bidirectional_wilson_low,bidirectional_wilson_high,metric_scope
low,phi1,00,00,0.0005,0.005,0.01,8192,2026090501,0.8436279296875,0.8436279296875,0.8436279296875,0.8436279296875,0.8356018912577279,0.8513318455998546,single six-qubit block gate/readout simulation
low,phi1,00,01,0.0005,0.005,0.01,8192,2026090501,0.843505859375,0.843505859375,0.843505859375,0.843505859375,0.8354773803818204,0.8512123302814966,single six-qubit block gate/readout simulation
low,phi1,00,10,0.0005,0.005,0.01,8192,2026090501,0.846435546875,0.846435546875,0.846435546875,0.846435546875,0.8384661087484279,0.8540802305772627,single six-qubit block gate/readout simulation
low,phi1,00,11,0.0005,0.005,0.01,8192,2026090501,0.850341796875,0.850341796875,0.850341796875,0.850341796875,0.8424526244234147,0.8579025531187743,single six-qubit block gate/readout simulation
low,phi1,01,00,0.0005,0.005,0.01,8192,2026090501,0.8463134765625,0.8463134765625,0.8463134765625,0.8463134765625,0.838341558789033,0.8539607543423919,single six-qubit block gate/readout simulation
low,phi1,01,01,0.0005,0.005,0.01,8192,2026090501,0.84033203125,0.84033203125,0.84033203125,0.84033203125,0.8322406825956189,0.8481043470167932,single six-qubit block gate/readout simulation
low,phi1,01,10,0.0005,0.005,0.01,8192,2026090501,0.839111328125,0.839111328125,0.839111328125,0.839111328125,0.8309960953772172,0.8469086722925393,single six-qubit block gate/readout simulation
low,phi1,01,11,0.0005,0.005,0.01,8192,2026090501,0.8421630859375,0.8421630859375,0.8421630859375,0.8421630859375,0.834107871263176,0.8498975512632196,single six-qubit block gate/readout simulation
low,phi1,10,00,0.0005,0.005,0.01,8192,2026090501,0.840576171875,0.840576171875,0.840576171875,0.840576171875,0.8324896196616789,0.8483434623392643,single six-qubit block gate/readout simulation
low,phi1,10,01,0.0005,0.005,0.01,8192,2026090501,0.8455810546875,0.8455810546875,0.8455810546875,0.8455810546875,0.8375942950400437,0.853243860925788,single six-qubit block gate/readout simulation
low,phi1,10,10,0.0005,0.005,0.01,8192,2026090501,0.83984375,0.83984375,0.83984375,0.83984375,0.8317428281221834,0.8476260967131665,single six-qubit block gate/readout simulation
low,phi1,10,11,0.0005,0.005,0.01,8192,2026090501,0.84130859375,0.84130859375,0.84130859375,0.84130859375,0.8332364703236963,0.8490607688428404,single six-qubit block gate/readout simulation
low,phi1,11,00,0.0005,0.005,0.01,8192,2026090501,0.8466796875,0.8466796875,0.8466796875,0.8466796875,0.8387152138261722,0.8543191778880497,single six-qubit block gate/readout simulation
low,phi1,11,01,0.0005,0.005,0.01,8192,2026090501,0.8458251953125,0.8458251953125,0.8458251953125,0.8458251953125,0.8378433761089294,0.8534828322454333,single six-qubit block gate/readout simulation
low,phi1,11,10,0.0005,0.005,0.01,8192,2026090501,0.8455810546875,0.8455810546875,0.8455810546875,0.8455810546875,0.8375942950400437,0.853243860925788,single six-qubit block gate/readout simulation
low,phi1,11,11,0.0005,0.005,0.01,8192,2026090501,0.8399658203125,0.8399658203125,0.8399658203125,0.8399658203125,0.8318672892870009,0.8477456617426145,single six-qubit block gate/readout simulation
low,phi2,00,00,0.0005,0.005,0.01,8192,2026090501,0.842041015625,0.842041015625,0.842041015625,0.842041015625,0.8339833804400046,0.8497780158921254,single six-qubit block gate/readout simulation
low,phi2,00,01,0.0005,0.005,0.01,8192,2026090501,0.8526611328125,0.8526611328125,0.8526611328125,0.8526611328125,0.844820474203163,0.8601712010300718,single six-qubit block gate/readout simulation
low,phi2,00,10,0.0005,0.005,0.01,8192,2026090501,0.8372802734375,0.8372802734375,0.8372802734375,0.8372802734375,0.8291295186218104,0.8451148561339625,single six-qubit block gate/readout simulation
low,phi2,00,11,0.0005,0.005,0.01,8192,2026090501,0.8524169921875,0.8524169921875,0.8524169921875,0.8524169921875,0.844571196322006,0.8599324265226977,single six-qubit block gate/readout simulation
low,phi2,01,00,0.0005,0.005,0.01,8192,2026090501,0.8519287109375,0.8519287109375,0.8519287109375,0.8519287109375,0.844072662209751,0.8594548558578903,single six-qubit block gate/readout simulation
low,phi2,01,01,0.0005,0.005,0.01,8192,2026090501,0.8436279296875,0.8436279296875,0.8436279296875,0.8436279296875,0.8356018912577279,0.8513318455998546,single six-qubit block gate/readout simulation
low,phi2,01,10,0.0005,0.005,0.01,8192,2026090501,0.8399658203125,0.8399658203125,0.8399658203125,0.8399658203125,0.8318672892870009,0.8477456617426145,single six-qubit block gate/readout simulation
