cluster_state,message_a,message_b,shots,seed,valid_bell_support_rate,alice_local_decode_rate,bob_local_decode_rate,bidirectional_decode_rate,sampling_error_note
phi1,00,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,00,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,00,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,00,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,01,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,01,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,01,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,01,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,10,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,10,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,10,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,10,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,11,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,11,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,11,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi1,11,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,00,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,00,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,00,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,00,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,01,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,01,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,01,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,01,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,10,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,10,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,10,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,10,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,11,00,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,11,01,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,11,10,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
phi2,11,11,8192,2026090501,1.0,1.0,1.0,1.0,finite Aer shots; numerical exact rows are separate
