branch_index,cluster_state,message_a,message_b,bell_12,bell_34,bell_56,M_A,tilde_M_A,M_B,tilde_M_B,truth_table_recovered_alice_message,truth_table_recovered_bob_message,v7_recovered_by_alice,v7_recovered_by_bob,v7_success,v7_terminal,v7_prf_confirm_count,branch_success
0,phi1,00,00,00,00,01,01,01,00,00,00,00,00,00,True,COMPLETED,2,True
1,phi1,00,00,00,01,10,10,10,01,01,00,00,00,00,True,COMPLETED,2,True
2,phi1,00,00,11,10,01,01,01,10,10,00,00,00,00,True,COMPLETED,2,True
3,phi1,00,00,11,11,10,10,10,11,11,00,00,00,00,True,COMPLETED,2,True
4,phi1,00,01,00,00,10,10,10,01,00,00,01,01,00,True,COMPLETED,2,True
5,phi1,00,01,00,01,01,01,01,00,01,00,01,01,00,True,COMPLETED,2,True
6,phi1,00,01,11,10,10,10,10,11,10,00,01,01,00,True,COMPLETED,2,True
7,phi1,00,01,11,11,01,01,01,10,11,00,01,01,00,True,COMPLETED,2,True
8,phi1,00,10,00,10,01,01,01,00,10,00,10,10,00,True,COMPLETED,2,True
9,phi1,00,10,00,11,10,10,10,01,11,00,10,10,00,True,COMPLETED,2,True
10,phi1,00,10,11,00,01,01,01,10,00,00,10,10,00,True,COMPLETED,2,True
11,phi1,00,10,11,01,10,10,10,11,01,00,10,10,00,True,COMPLETED,2,True
12,phi1,00,11,00,10,10,10,10,01,10,00,11,11,00,True,COMPLETED,2,True
13,phi1,00,11,00,11,01,01,01,00,11,00,11,11,00,True,COMPLETED,2,True
14,phi1,00,11,11,00,10,10,10,11,00,00,11,11,00,True,COMPLETED,2,True
15,phi1,00,11,11,01,01,01,01,10,01,00,11,11,00,True,COMPLETED,2,True
16,phi1,01,00,00,00,00,01,00,00,00,01,00,00,01,True,COMPLETED,2,True
17,phi1,01,00,00,01,11,10,11,01,01,01,00,00,01,True,COMPLETED,2,True
18,phi1,01,00,11,10,00,01,00,10,10,01,00,00,01,True,COMPLETED,2,True
19,phi1,01,00,11,11,11,10,11,11,11,01,00,00,01,True,COMPLETED,2,True
20,phi1,01,01,00,00,11,10,11,01,00,01,01,01,01,True,COMPLETED,2,True
21,phi1,01,01,00,01,00,01,00,00,01,01,01,01,01,True,COMPLETED,2,True
22,phi1,01,01,11,10,11,10,11,11,10,01,01,01,01,True,COMPLETED,2,True
