configuration,role,seed,L,q0,q1,q,q_threshold,threshold_count,accept_rule,executor_equivalent,trials,accepted,rejected,acceptance_rate,simulation_level
L16_q00_q10.2_qth0.05,honest,2026090501,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090502,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090503,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090504,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090505,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090506,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090507,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090508,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090509,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,honest,2026090510,16,0.0,0.2,0.0,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090501,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2890,97110,0.0289,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090502,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2678,97322,0.02678,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090503,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2710,97290,0.0271,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090504,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2822,97178,0.02822,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090505,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2788,97212,0.02788,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090506,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2736,97264,0.02736,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090507,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2754,97246,0.02754,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090508,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2781,97219,0.02781,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090509,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2830,97170,0.0283,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.05,attack,2026090510,16,0.0,0.2,0.2,0.05,0,errors<=floor(L*q_threshold),errors*100<=16*5,100000,2700,97300,0.027,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090501,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090502,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090503,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090504,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090505,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
L16_q00_q10.2_qth0.1,honest,2026090506,16,0.0,0.2,0.0,0.1,1,errors<=floor(L*q_threshold),errors*100<=16*10,100000,100000,0,1.0,L_independent_error_events_per_trial
