mode,n_blocks,ell,lambda_bits,r,layer,records,record_count,dependency
BASIC,1,4,,0,1,QRECV_ACK,1,quantum delivery/length check
BASIC,1,4,,0,2,DECOY_INFO,1,verified QRECV_ACK
BASIC,1,4,,0,3,DIALOGUE_B_QPASS,1,Bob local detection pass
BASIC,1,4,,0,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
BASIC,1,4,,0,5,CONFIRM_A|CONFIRM_B,2,each party local full recovery; confirmations independent
RELEASE,1,4,1,2,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,1,4,1,2,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,1,4,1,2,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,1,4,1,2,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,1,4,1,2,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,1,4,1,2,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,1,4,1,2,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,1,4,1,2,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,1,4,1,2,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,1,4,1,2,10,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
RELEASE,1,4,2,1,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,1,4,2,1,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,1,4,2,1,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,1,4,2,1,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,1,4,2,1,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,1,4,2,1,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,1,4,2,1,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,1,4,2,1,8,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
BASIC,1,155,,0,1,QRECV_ACK,1,quantum delivery/length check
BASIC,1,155,,0,2,DECOY_INFO,1,verified QRECV_ACK
BASIC,1,155,,0,3,DIALOGUE_B_QPASS,1,Bob local detection pass
BASIC,1,155,,0,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
BASIC,1,155,,0,5,CONFIRM_A|CONFIRM_B,2,each party local full recovery; confirmations independent
RELEASE,1,155,1,2,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,1,155,1,2,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,1,155,1,2,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,1,155,1,2,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,1,155,1,2,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,1,155,1,2,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,1,155,1,2,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,1,155,1,2,8,OPEN_leader_2,1,previous block complete and local release guard
RELEASE,1,155,1,2,9,OPEN_follower_2,1,verified leader OPEN 2
RELEASE,1,155,1,2,10,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
RELEASE,1,155,2,1,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,1,155,2,1,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,1,155,2,1,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,1,155,2,1,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,1,155,2,1,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,1,155,2,1,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,1,155,2,1,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,1,155,2,1,8,CONFIRM_A|CONFIRM_B,2,each party S=V=2n and local full recovery
BASIC,2,4,,0,1,QRECV_ACK,1,quantum delivery/length check
BASIC,2,4,,0,2,DECOY_INFO,1,verified QRECV_ACK
BASIC,2,4,,0,3,DIALOGUE_B_QPASS,1,Bob local detection pass
BASIC,2,4,,0,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
BASIC,2,4,,0,5,CONFIRM_A|CONFIRM_B,2,each party local full recovery; confirmations independent
RELEASE,2,4,1,4,1,QRECV_ACK,1,quantum delivery/length check
RELEASE,2,4,1,4,2,DECOY_INFO,1,verified QRECV_ACK
RELEASE,2,4,1,4,3,DIALOGUE_B_QPASS,1,Bob local detection pass
RELEASE,2,4,1,4,4,DIALOGUE_A,1,Alice verified DIALOGUE_B_QPASS
RELEASE,2,4,1,4,5,COMMIT_SET_A|COMMIT_SET_B,2,both dialogue records available; commitments independent
RELEASE,2,4,1,4,6,OPEN_leader_1,1,previous block complete and local release guard
RELEASE,2,4,1,4,7,OPEN_follower_1,1,verified leader OPEN 1
RELEASE,2,4,1,4,8,OPEN_leader_2,1,previous block complete and local release guard
