mode,n_blocks,ell,lambda_bits,r,run_index,input_seed,fixture_secret_seed,warmups_before_measurement,elapsed_ns,elapsed_ms,success,post_ke_records,wire_bytes,timing_scope,timer,process
BASIC,1,4,,0,0,2026090501,2046090501,5,4273300,4.2733,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,1,2026090502,2046090503,5,3830900,3.8309,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,2,2026090503,2046090505,5,3917700,3.9177,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,3,2026090504,2046090507,5,3861300,3.8613,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,4,2026090505,2046090509,5,3803400,3.8034,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,5,2026090506,2046090511,5,3815800,3.8158,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,6,2026090507,2046090513,5,3963000,3.963,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,7,2026090508,2046090515,5,4174500,4.1745,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,8,2026090509,2046090517,5,3795100,3.7951,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,9,2026090510,2046090519,5,4015700,4.0157,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,10,2026090501,2046090511,5,3981000,3.981,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
BASIC,1,4,,0,11,2026090502,2046090513,5,3969200,3.9692,True,6,4645,"in-memory V7 session incl simulated KE derivation and deterministic quantum fixture; excl external KE/QKD, network, Qiskit, PRISM",time.perf_counter_ns,single_process
