scheme,n_blocks,ell,prepared_qubits,transmitted_qubits,stored_qubits,bell_measurement_operations,bell_readout_bits,decoy_readout_bits,total_measurement_readout_bits,joint_6n_state_constructed,source
original_AQD,1,4,14,10,4,3,6,8,14,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,1,4,14,10,4,3,6,8,14,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,1,4,14,10,4,3,6,8,14,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,1,155,316,312,4,3,6,310,316,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,1,155,316,312,4,3,6,310,316,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,1,155,316,312,4,3,6,310,316,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,2,4,20,12,8,6,12,8,20,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,2,4,20,12,8,6,12,8,20,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,2,4,20,12,8,6,12,8,20,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,2,155,322,314,8,6,12,310,322,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,2,155,322,314,8,6,12,310,322,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,2,155,322,314,8,6,12,310,322,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,4,4,32,16,16,12,24,8,32,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,4,4,32,16,16,12,24,8,32,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,4,4,32,16,16,12,24,8,32,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,4,155,334,318,16,12,24,310,334,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,4,155,334,318,16,12,24,310,334,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,4,155,334,318,16,12,24,310,334,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,8,4,56,24,32,24,48,8,56,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,8,4,56,24,32,24,48,8,56,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,8,4,56,24,32,24,48,8,56,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,8,155,358,326,32,24,48,310,358,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,8,155,358,326,32,24,48,310,358,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,8,155,358,326,32,24,48,310,358,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,16,4,104,40,64,48,96,8,104,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,16,4,104,40,64,48,96,8,104,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,16,4,104,40,64,48,96,8,104,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,16,155,406,342,64,48,96,310,406,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,16,155,406,342,64,48,96,310,406,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,16,155,406,342,64,48,96,310,406,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,32,4,200,72,128,96,192,8,200,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,32,4,200,72,128,96,192,8,200,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,32,4,200,72,128,96,192,8,200,False,six-particle block protocol count; same quantum core for all three schemes
original_AQD,32,155,502,374,128,96,192,310,502,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_BASIC_V7,32,155,502,374,128,96,192,310,502,False,six-particle block protocol count; same quantum core for all three schemes
IAQD_RELEASE_V7,32,155,502,374,128,96,192,310,502,False,six-particle block protocol count; same quantum core for all three schemes
