scheme,mode,n_blocks,message_bits_per_party,ell,lambda_bits,r,last_chunk_bits,KE_QKD_communication_included,initialization_records_separate,post_ke_record_count,causal_round_count_post_ke,quantum_transmissions,actual_serialized_post_ke_bytes,actual_value_only_semantic_bits,comparable_payload_auth_binary_bits,comparable_formula,D_dec_compact_bits,mac_records,prf_confirm_records,mac_generate_calls,mac_verify_calls,prf_generate_calls,prf_verify_calls,commitment_generate_operations,commitment_verify_operations,open_records,claim_boundary
IAQD_BASIC_V7,BASIC,1,2,4,,0,,False,2,6,5,1,4645,9434,1562,D_dec+4n+1536,22,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,1,2,4,1,2,1,False,2,12,10,1,9715,21289,6174,D_dec+8n+2560+1792r,22,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,1,2,4,2,1,2,False,2,10,8,1,7953,17148,4382,D_dec+8n+2560+1792r,22,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,1,2,155,,0,,False,2,6,5,1,10082,12042,2176,D_dec+4n+1536,636,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,1,2,155,1,2,1,False,2,12,10,1,15152,23899,6788,D_dec+8n+2560+1792r,636,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,1,2,155,2,1,2,False,2,10,8,1,13390,19758,4996,D_dec+8n+2560+1792r,636,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,2,4,4,,0,,False,2,6,5,1,4649,9443,1568,D_dec+4n+1536,24,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,4,1,4,1,False,2,16,14,1,13247,29603,9768,D_dec+8n+2560+1792r,24,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,4,2,2,2,False,2,12,10,1,9723,21313,6184,D_dec+8n+2560+1792r,24,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,4,4,1,4,False,2,10,8,1,7961,17170,4392,D_dec+8n+2560+1792r,24,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,2,4,155,,0,,False,2,6,5,1,10086,12056,2192,D_dec+4n+1536,648,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,155,1,4,1,False,2,16,14,1,18684,32222,10392,D_dec+8n+2560+1792r,648,14,2,14,14,2,2,8,8,8,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,155,2,2,2,False,2,12,10,1,15160,23931,6808,D_dec+8n+2560+1792r,648,10,2,10,10,2,2,4,4,4,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_RELEASE_V7,RELEASE,2,4,155,4,1,4,False,2,10,8,1,13398,19785,5016,D_dec+8n+2560+1792r,648,8,2,8,8,2,2,2,2,2,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
IAQD_BASIC_V7,BASIC,4,8,4,,0,,False,2,6,5,1,4657,9460,1582,D_dec+4n+1536,30,4,2,4,4,2,2,0,0,0,reference CE1 implementation; in-memory network; initialization and KE/QKD excluded from byte total
