mode,n_blocks,ell,lambda_bits,record_index,sender,direction,record_type,sequence,auth_kind,serialized_bytes,header_ce1_bytes,payload_ce1_bytes,auth_ce1_bytes,auth_tag_bits,value_only_semantic_bits
BASIC,1,4,,1,Bob,B2A,QRECV_ACK,0,MAC,660,422,75,125,256,1441
BASIC,1,4,,2,Alice,A2B,DECOY_INFO,0,MAC,1422,423,835,126,256,2143
BASIC,1,4,,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,674,429,80,127,256,1549
BASIC,1,4,,4,Alice,A2B,DIALOGUE_A,1,MAC,645,423,57,127,256,1461
BASIC,1,4,,5,Bob,B2A,CONFIRM,2,PRF,622,420,68,96,128,1420
BASIC,1,4,,6,Alice,A2B,CONFIRM,2,PRF,622,420,68,96,128,1420
RELEASE,1,4,1,1,Bob,B2A,QRECV_ACK,0,MAC,662,424,75,125,256,1457
RELEASE,1,4,1,2,Alice,A2B,DECOY_INFO,0,MAC,1424,425,835,126,256,2156
RELEASE,1,4,1,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,676,431,80,127,256,1565
RELEASE,1,4,1,4,Alice,A2B,DIALOGUE_A,1,MAC,647,425,57,127,256,1477
RELEASE,1,4,1,5,Alice,A2B,COMMIT_SET,2,MAC,989,425,399,127,256,2252
RELEASE,1,4,1,6,Bob,B2A,COMMIT_SET,2,MAC,989,425,399,127,256,2252
RELEASE,1,4,1,7,Bob,B2A,OPEN,3,MAC,770,419,186,127,256,1813
RELEASE,1,4,1,8,Alice,A2B,OPEN,3,MAC,770,419,186,127,256,1813
RELEASE,1,4,1,9,Alice,A2B,OPEN,4,MAC,770,419,186,127,256,1815
RELEASE,1,4,1,10,Bob,B2A,OPEN,4,MAC,770,419,186,127,256,1815
RELEASE,1,4,1,11,Bob,B2A,CONFIRM,5,PRF,624,422,68,96,128,1437
RELEASE,1,4,1,12,Alice,A2B,CONFIRM,5,PRF,624,422,68,96,128,1437
RELEASE,1,4,2,1,Bob,B2A,QRECV_ACK,0,MAC,662,424,75,125,256,1457
RELEASE,1,4,2,2,Alice,A2B,DECOY_INFO,0,MAC,1424,425,835,126,256,2157
RELEASE,1,4,2,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,676,431,80,127,256,1565
RELEASE,1,4,2,4,Alice,A2B,DIALOGUE_A,1,MAC,647,425,57,127,256,1477
RELEASE,1,4,2,5,Alice,A2B,COMMIT_SET,2,MAC,877,425,287,127,256,1994
RELEASE,1,4,2,6,Bob,B2A,COMMIT_SET,2,MAC,877,425,287,127,256,1994
RELEASE,1,4,2,7,Alice,A2B,OPEN,3,MAC,771,419,187,127,256,1815
RELEASE,1,4,2,8,Bob,B2A,OPEN,3,MAC,771,419,187,127,256,1815
RELEASE,1,4,2,9,Bob,B2A,CONFIRM,4,PRF,624,422,68,96,128,1437
RELEASE,1,4,2,10,Alice,A2B,CONFIRM,4,PRF,624,422,68,96,128,1437
BASIC,1,155,,1,Bob,B2A,QRECV_ACK,0,MAC,660,422,75,125,256,1451
BASIC,1,155,,2,Alice,A2B,DECOY_INFO,0,MAC,6859,423,6272,126,256,4741
BASIC,1,155,,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,674,429,80,127,256,1549
BASIC,1,155,,4,Alice,A2B,DIALOGUE_A,1,MAC,645,423,57,127,256,1461
BASIC,1,155,,5,Bob,B2A,CONFIRM,2,PRF,622,420,68,96,128,1420
BASIC,1,155,,6,Alice,A2B,CONFIRM,2,PRF,622,420,68,96,128,1420
RELEASE,1,155,1,1,Bob,B2A,QRECV_ACK,0,MAC,662,424,75,125,256,1467
RELEASE,1,155,1,2,Alice,A2B,DECOY_INFO,0,MAC,6861,425,6272,126,256,4756
RELEASE,1,155,1,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,676,431,80,127,256,1565
RELEASE,1,155,1,4,Alice,A2B,DIALOGUE_A,1,MAC,647,425,57,127,256,1477
RELEASE,1,155,1,5,Alice,A2B,COMMIT_SET,2,MAC,989,425,399,127,256,2252
RELEASE,1,155,1,6,Bob,B2A,COMMIT_SET,2,MAC,989,425,399,127,256,2252
RELEASE,1,155,1,7,Alice,A2B,OPEN,3,MAC,770,419,186,127,256,1813
RELEASE,1,155,1,8,Bob,B2A,OPEN,3,MAC,770,419,186,127,256,1813
RELEASE,1,155,1,9,Bob,B2A,OPEN,4,MAC,770,419,186,127,256,1815
RELEASE,1,155,1,10,Alice,A2B,OPEN,4,MAC,770,419,186,127,256,1815
RELEASE,1,155,1,11,Bob,B2A,CONFIRM,5,PRF,624,422,68,96,128,1437
RELEASE,1,155,1,12,Alice,A2B,CONFIRM,5,PRF,624,422,68,96,128,1437
RELEASE,1,155,2,1,Bob,B2A,QRECV_ACK,0,MAC,662,424,75,125,256,1467
RELEASE,1,155,2,2,Alice,A2B,DECOY_INFO,0,MAC,6861,425,6272,126,256,4757
RELEASE,1,155,2,3,Bob,B2A,DIALOGUE_B_QPASS,1,MAC,676,431,80,127,256,1565
RELEASE,1,155,2,4,Alice,A2B,DIALOGUE_A,1,MAC,647,425,57,127,256,1477
RELEASE,1,155,2,5,Alice,A2B,COMMIT_SET,2,MAC,877,425,287,127,256,1994
RELEASE,1,155,2,6,Bob,B2A,COMMIT_SET,2,MAC,877,425,287,127,256,1994
RELEASE,1,155,2,7,Alice,A2B,OPEN,3,MAC,771,419,187,127,256,1815
RELEASE,1,155,2,8,Bob,B2A,OPEN,3,MAC,771,419,187,127,256,1815
